Brnd_Name,Gnrc_Name
Amicar,Aminocaproic Acid
Amidate,Etomidate
Amikacin Sulfate,Amikacin Sulfate
Amiloride HCl,Amiloride HCl
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide
Aminoacetic Acid,Glycine Urologic Solution
Aminocaproic Acid*,Aminocaproic Acid
Aminophylline,Aminophylline
Aminosyn II,Parenteral Amino Acid 15% No.2
Amiodarone HCl*,Amiodarone HCl
Amitiza,Lubiprostone
Amitriptyline HCl,Amitriptyline HCl
Amlodipine Besylate,Amlodipine Besylate
Amlodipine Besylate-Benazepril,Amlodipine Besylate/Benazepril
Amlodipine-Atorvastatin,Amlodipine/Atorvastatin
Amlodipine-Olmesartan,Amlodipine Bes/Olmesartan Med
Amlodipine-Valsartan,Amlodipine Besylate/Valsartan
Amlodipine-Valsartan-HCTZ,Amlodipine/Valsartan/HCThiazid
Ammonia Inhalant,Ammonia
Ammonium Chloride,Ammonium Chloride
Ammonium Lactate,Ammonium Lactate
Amnesteem,Isotretinoin
Amondys-45,Casimersen
Amoxapine,Amoxapine
Amoxicillin,Amoxicillin
Amoxicillin-Clavulanate Pot ER,Amoxicillin/Potassium Clav
Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav
Amphadase,Hyaluronidase
Amphetamine,Amphetamine
Amphetamine Sulfate,Amphetamine Sulfate
Amphotericin B,Amphotericin B
Amphotericin B Liposome,Amphotericin B Liposome
Ampicillin Sodium*,Ampicillin Sodium
Ampicillin Trihydrate,Ampicillin Trihydrate
Ampicillin-Sulbactam*,Ampicillin Sod/Sulbactam Sod
Ampyra,Dalfampridine
Amrix,Cyclobenzaprine HCl
Amvuttra,Vutrisiran Sodium
Amzeeq,Minocycline HCl
Anafranil,Clomipramine HCl
Anagrelide HCl,Anagrelide HCl
Anaspaz,Hyoscyamine Sulfate
Anastrozole,Anastrozole
Andexxa,"Factor Xa,Inactivated-Zhzo"
Androderm,Testosterone
Androgel,Testosterone
Anectine,Succinylcholine Chloride
Angeliq,Drospirenone/Estradiol
Angiomax,Bivalirudin
Animal Shapes,"Multivit With Iron,Minerals"
Anjeso,Meloxicam
Annovera,Segesterone Ac/Ethin Estradiol
Anoro Ellipta,Umeclidinium Brm/Vilanterol Tr
Antara,"Fenofibrate,Micronized"
Antivert,Meclizine HCl
Anucort-HC,Hydrocortisone Acetate
Anusol-HC,Hydrocortisone
Apexicon E,Diflorasone Diacet/Emollient
Apidra,Insulin Glulisine
Apidra Solostar,Insulin Glulisine
Aplenzin,Bupropion HBr
Aplisol,"Tuberculin,Purif.Prot.Deriv."
Apokyn,Apomorphine HCl
Apraclonidine HCl,Apraclonidine HCl
Aprepitant,Aprepitant
Apretude,Cabotegravir
Apri,Desogestrel-Ethinyl Estradiol
Apriso,Mesalamine
Aptensio XR,Methylphenidate HCl
Aptiom,Eslicarbazepine Acetate
Aptivus,Tipranavir
Aquasol A,Vitamin A Palmitate
Aralast NP,Alpha-1-Proteinase Inhibitor
Aranelle,Norethindrone-Ethin. Estradiol
Aranesp,Darbepoetin Alfa In Polysorbat
Arava,Leflunomide
Arazlo,Tazarotene
Arcalyst,Rilonacept
Arformoterol Tartrate,Arformoterol Tartrate
Argatroban,Argatroban
Arginine,Arginine
Aricept,Donepezil HCl
Arikayce,Amikacin Liposomal/Neb.Accessr
Arimidex,Anastrozole
Aripiprazole,Aripiprazole
Aripiprazole ODT,Aripiprazole
Aristada,Aripiprazole Lauroxil
Aristada Initio,"Aripiprazole Lauroxil,Submicr."
Aristospan,Triamcinolone Hexacetonide
Arixtra,Fondaparinux Sodium
Armodafinil,Armodafinil
Armonair Digihaler,Fluticasone Propionate
Armour Thyroid,"Thyroid,Pork"
Arnuity Ellipta,Fluticasone Furoate
Aromasin,Exemestane
Arranon,Nelarabine
Arsenic Trioxide,Arsenic Trioxide
Arthritis Pain Relief,Acetaminophen
Arthrotec 50,Diclofenac Sodium/Misoprostol
Arthrotec 75,Diclofenac Sodium/Misoprostol
Artificial Tears,PEG 400/Hypromellose/Glycerin
Artiss,Thrombin/Fibrinog/Aprotin/Calc
Arzerra,Ofatumumab
Asa-Butalb-Caffeine-Codeine,Codeine/Butalbital/Asa/Caffein
Asacol Hd,Mesalamine
Asceniv,"Immune Globulin,Gamma(IgG)slra"
Asclera,Polidocanol
Ascomp With Codeine,Codeine/Butalbital/Asa/Caffein
Ascorbic Acid*,Ascorbic Acid
Asenapine Maleate,Asenapine Maleate
Ashlyna,L-Norgest/E.Estradiol-E.Estrad
Asmanex,Mometasone Furoate
Asmanex HFA,Mometasone Furoate
Asparlas,Calaspargase PEGol-Mknl
Aspirin,Aspirin
Aspirin EC,Aspirin
Aspirin-Dipyridamole ER,Aspirin/Dipyridamole
Aspruzyo Sprinkle,Ranolazine
Astagraf XL,Tacrolimus
Astringyn,Ferric Subsulfate
Atacand,Candesartan Cilexetil
Atacand HCT,Candesartan/Hydrochlorothiazid
Atazanavir Sulfate,Atazanavir Sulfate
Atenolol,Atenolol
Atenolol-Chlorthalidone,Atenolol/Chlorthalidone
Ativan*,Lorazepam
Atomoxetine HCl,Atomoxetine HCl
Atorvastatin Calcium,Atorvastatin Calcium
Atovaquone,Atovaquone
Atovaquone-Proguanil HCl,Atovaquone/Proguanil HCl
Atralin,Tretinoin
Atripla,Efavirenz/Emtricit/Tenofovr Df
Atropine Sulfate*,Atropine Sulfate
Atrovent HFA,Ipratropium Bromide
Aubagio,Teriflunomide
Aubra,Levonorgestrel/Ethin.Estradiol
Aubra Eq,Levonorgestrel/Ethin.Estradiol
Augmentin,Amoxicillin/Potassium Clav
Aurovela,Norethindrone Ac-Eth Estradiol
Aurovela 24 Fe,Norethindrone-E.Estradiol-Iron
Aurovela Fe,Norethindrone-E.Estradiol-Iron
Auryxia,Ferric Citrate
Austedo,Deutetrabenazine
Autoshield Duo Pen Needle,"Pen Needle,Dual Safety,Diabetc"
Auvelity,Dextromethorphan HBr/Bupropion
Avalide,Irbesartan/Hydrochlorothiazide
Avapro,Irbesartan
Avar,Sulfacetamide Sodium/Sulfur
Avastin,Bevacizumab
Aveed,Testosterone Undecanoate
Aviane,Levonorgestrel/Ethin.Estradiol
Avita,Tretinoin
Avodart,Dutasteride
Avonex,Interferon Beta-1a
Avonex Pen,Interferon Beta-1a
Avsola,Infliximab-Axxq
Avycaz,Ceftazidime/Avibactam
Axumin,Fluciclovine F 18
Aygestin,Norethindrone Acetate
Ayr,Sodium Chloride
Ayvakit,Avapritinib
Azacitidine,Azacitidine
Azactam,Aztreonam
Azasan,Azathioprine
Azasite,Azithromycin
Azathioprine,Azathioprine
Azelaic Acid,Azelaic Acid
Azelastine HCl*,Azelastine HCl
Azelastine-Fluticasone,Azelastine/Fluticasone
Azelex,Azelaic Acid
Azilect,Rasagiline Mesylate
Azithromycin*,Azithromycin
Azopt,Brinzolamide
Azor,Amlodipine Bes/Olmesartan Med
Azstarys,Serdexmethylphen/Dexmethylphen
Aztreonam,Aztreonam
Azulfidine,Sulfasalazine
Azurette,Desog-E.Estradiol/E.Estradiol
B-12,Cyanocobalamin (Vitamin B-12)
B-Complex,"Vitamins B1,B2,B3,B5,And B6"
B-Complex Plus Vitamin C,B-Complex With Vitamin C
BCG (Tice Strain),BCG Live
Bacitracin Zinc,Bacitracin Zinc
Bacitracin*,Bacitracin
Bacitracin-Polymyxin,Bacitracin/Polymyxin B Sulfate
Baclofen*,Baclofen
Bacmin,Multivit-Mins No.20/Iron/Folic
Bactrim Ds,Sulfamethoxazole/Trimethoprim
Bafiertam,Monomethyl Fumarate
Balance B-50,Vitamin B Complex/Folic Acid
Balanced Salt,Balanced Salt Irrig Soln No.2
Balcoltra,Levonorgest/Eth.Estradiol/Iron
Balneol,"Mineral,Lanolin Oils/Prop Glyc"
Balsalazide Disodium,Balsalazide Disodium
Balsam Peru-Castor Oil,Balsam Peru/Castor Oil
Balversa,Erdafitinib
Balziva,Norethindrone-Ethin. Estradiol
Bamlanivimab (Eua),Bamlanivimab
Bandages,Adhesive Bandage
Bandages Sheer,Adhesive Bandage
Banzel,Rufinamide
Baqsimi,Glucagon
Baraclude,Entecavir
Barhemsys,Amisulpride
Basaglar Kwikpen U-100,"Insulin Glargine,Hum.Rec.Anlog"
Bavencio,Avelumab
Baxdela,Delafloxacin Meglumine
Bebtelovimab (Eua),Bebtelovimab
Beconase Aq,Beclomethasone Dipropionate
Belbuca,Buprenorphine HCl
Beleodaq,Belinostat
Belladonna-Opium,Opium/Belladonna Alkaloids
Belrapzo,Bendamustine HCl
Belsomra,Suvorexant
Belviq,Lorcaserin HCl
Benazepril HCl,Benazepril HCl
Benazepril-Hydrochlorothiazide,Benazepril/Hydrochlorothiazide
Bendamustine HCl,Bendamustine HCl
Bendeka,Bendamustine HCl
Benefix,Factor IX Human Recombinant
Benicar,Olmesartan Medoxomil
Benicar HCT,Olmesartan/Hydrochlorothiazide
Benlysta*,Belimumab
Bensal HP,Salicylic Acid
Bentyl,Dicyclomine HCl
Benzaclin,Clindamycin Phos/Benzoyl Perox
Benzamycin,Erythromycin/Benzoyl Peroxide
Benzonatate,Benzonatate
Benzoyl Peroxide,Benzoyl Peroxide
Benzphetamine HCl,Benzphetamine HCl
Benztropine Mesylate*,Benztropine Mesylate
Beovu,Brolucizumab-Dbll
Bepotastine Besilate,Bepotastine Besilate
Bepreve,Bepotastine Besilate
Berinert,C1 Esterase Inhibitor
Besivance,Besifloxacin HCl
Besponsa,Inotuzumab Ozogamicin
Besremi,Ropeginterferon Alfa-2b-Njft
Betadine,Povidone-Iodine
Betaine Anhydrous,Betaine
Betamethasone Diprop Augmented,Betamethasone Dipropionate
Betamethasone Dipropionate,Betamethasone Dipropionate
Betamethasone Sod Phos-Acetate,"Betamethasone Acetate,Sod Phos"
Betamethasone Valerate,Betamethasone Valerate
Betaseron,Interferon Beta-1b
Betaxolol HCl*,Betaxolol HCl
Bethanechol Chloride,Bethanechol Chloride
Bethkis,Tobramycin
Betimol,Timolol
Betoptic S,Betaxolol HCl
Bevespi Aerosphere,Glycopyrrolate/Formoterol Fum
Bexarotene*,Bexarotene
Beyaz,Drospir/Eth Estra/Levomefol Ca
Biafine,Emollient Combination No.10
Bicalutamide,Bicalutamide
Bicillin C-R,Pen G Benz/Pen G Procaine
Bicillin L-A,Penicillin G Benzathine
Bidil,Isosorbide Dinit/Hydralazine
Bijuva,Estradiol/Progesterone
Biktarvy,Bictegrav/Emtricit/Tenofov Ala
Biltricide,Praziquantel
Bimatoprost*,Bimatoprost
Biorphen,Phenylephrine HCl
Biotin,Biotin
Bisacodyl*,Bisacodyl
Bisoprolol Fumarate,Bisoprolol Fumarate
Bisoprolol-Hydrochlorothiazide,Bisoprolol/Hydrochlorothiazide
Bivalirudin,Bivalirudin
Bivalirudin-0.9% NaCl,Bivalirudin/0.9 % Sodium Chlor
Bivigam,Immun Glob G(IgG)/Gly/IgA Ov50
Blenrep,Belantamab Mafodotin-Blmf
Bleomycin Sulfate,Bleomycin Sulfate
Blephamide,Sulfacetamide/Prednisolone
Blincyto,Blinatumomab
Blisovi 24 Fe,Norethindrone-E.Estradiol-Iron
Blisovi Fe,Norethindrone-E.Estradiol-Iron
Bloxiverz,Neostigmine Methylsulfate
Boniva,Ibandronate Sodium
Bonjesta,Doxylamine Succinate/Vit B6
Bortezomib*,Bortezomib
Bosentan,Bosentan
Bosulif,Bosutinib
Botox,Onabotulinumtoxina
Botox Cosmetic,Onabotulinumtoxina
Bp 10-1,Sulfacetamide Sodium/Sulfur
Braftovi,Encorafenib
Breo Ellipta,Fluticasone/Vilanterol
Brevibloc,Esmolol HCl
Brevital Sodium,Methohexital Sodium
Brexafemme,Ibrexafungerp Citrate
Breztri Aerosphere,Budesonide/Glycopyr/Formoterol
Bridion,Sugammadex Sodium
Briellyn,Norethindrone-Ethin. Estradiol
Brilinta,Ticagrelor
Brimonidine Tartrate,Brimonidine Tartrate
Brimonidine Tartrate-Timolol,Brimonidine Tartrate/Timolol
Brineura,Cerliponase Alfa
Brinzolamide,Brinzolamide
Brisdelle,Paroxetine Mesylate
Briviact*,Brivaracetam
Bromfed DM,Brompheniramine/Pseudoephed/DM
Bromfenac Sodium,Bromfenac Sodium
Bromocriptine Mesylate,Bromocriptine Mesylate
Brompheniramine-Pseudoephed-DM,Brompheniramine/Pseudoephed/DM
Bromsite,Bromfenac Sodium
Bronchitol,Mannitol
Brovana,Arformoterol Tartrate
Brukinsa,Zanubrutinib
Bryhali,Halobetasol Propionate
Bss,Balanced Salt Irrig Soln No.2
Bss Plus,Balanced Salt Irrig Soln No.1
Budesonide,Budesonide
Budesonide Dr,Budesonide
Budesonide EC,Budesonide
Budesonide ER,Budesonide
Budesonide-Formoterol Fumarate,Budesonide/Formoterol Fumarate
Bumetanide*,Bumetanide
Buphenyl,Sodium Phenylbutyrate
Bupivacaine HCl,Bupivacaine HCl
Bupivacaine HCl-Epinephrine,Bupivacaine HCl/Epinephrine
Bupivacaine-Dextrose,Bupivacaine HCl In Dextrose/PF
Buprenex,Buprenorphine HCl
Buprenorphine,Buprenorphine
Buprenorphine HCl*,Buprenorphine HCl
Buprenorphine-Naloxone,Buprenorphine HCl/Naloxone HCl
Bupropion HCl,Bupropion HCl
Bupropion HCl SR,Bupropion HCl
Bupropion XL,Bupropion HCl
Buspirone HCl,Buspirone HCl
Busulfan,Busulfan
Butalb-Acetaminoph-Caff-Codein,Butalbit/Acetamin/Caff/Codeine
Butalbital Compound-Codeine,Codeine/Butalbital/Asa/Caffein
Butalbital-Acetaminophen,Butalbital/Acetaminophen
Butalbital-Acetaminophen-Caffe,Butalb/Acetaminophen/Caffeine
Butalbital-Aspirin-Caffeine,Butalbital/Aspirin/Caffeine
Butorphanol Tartrate*,Butorphanol Tartrate
Butrans,Buprenorphine
Bydureon Bcise,Exenatide Microspheres
Bydureon Pen,Exenatide Microspheres
Byetta,Exenatide
Byfavo,Remimazolam Besylate
Bylvay,Odevixibat
Bystolic,Nebivolol HCl
C-1000 With Rose Hips,Ascorbic Acid
C-500,Ascorbic Acid
C-Nate DHA,PNV 11/Iron Fum/Folic Acid/Om3
Cabenuva,Cabotegravir/Rilpivirine
Cabergoline,Cabergoline
Cablivi,Caplacizumab-Yhdp
Cabometyx,Cabozantinib S-Malate
Caduet,Amlodipine/Atorvastatin
Cafcit,Caffeine Citrate
Cafergot,Ergotamine Tartrate/Caffeine
Caffeine And Sodium Benzoate,Caffeine/Sodium Benzoate
Caffeine Citrate*,Caffeine Citrate
Cal Mag Zinc-D3,Calcium Carb/D3/Magnesium/Zinc
Calan SR,Verapamil HCl
Calcidol,Ergocalciferol (Vitamin D2)
Calcipotriene,Calcipotriene
Calcipotriene-Betamethasone,Calcipotriene/Betamethasone
Calcipotriene-Betamethasone Dp,Calcipotriene/Betamethasone
Calcitonin-Salmon*,"Calcitonin,Salmon,Synthetic"
Calcitrate,Calcium Citrate
Calcitrate + Vit D,Calcium Citrate/Vitamin D3
Calcitriol*,Calcitriol
Calcium,Calcium Carbonate
Calcium 250-Vit D3,Calcium Carbonate/Vitamin D3
Calcium 500 + Vit D,Calcium Carbonate/Vitamin D3
Calcium 500-Vit D3,Calcium Carbonate/Vitamin D3
Calcium 600 + Vit D,Calcium Carbonate/Vitamin D3
Calcium 600-Vit D3,Calcium Carbonate/Vitamin D3
Calcium Acetate,Calcium Acetate
Calcium Chloride,Calcium Chloride
Calcium Citrate - Vitamin D,Calcium Citrate/Vitamin D3
Calcium Citrate - Vitamin D3,Calcium Citrate/Vitamin D3
Calcium Citrate-Vitamin D3,Calcium Citrate/Vitamin D3
Calcium Disodium Versenate,Edetate Calcium Disodium
Calcium Gluconate,Calcium Gluconate
Calcium Gluconate-NaCl,"Calcium Gluc In NaCl, Iso-Osm"
Caldolor,Ibuprofen
Calphron,Calcium Acetate
Calprotect,Menthol/Zinc Oxide
Calquence,Acalabrutinib
Cambia,Diclofenac Potassium
Camcevi,Leuprolide Mesylate
Camila,Norethindrone
Camptosar,Irinotecan HCl
Camrese,L-Norgest/E.Estradiol-E.Estrad
Camrese Lo,L-Norgest/E.Estradiol-E.Estrad
Camzyos,Mavacamten
Canasa,Mesalamine
Cancidas,Caspofungin Acetate
Candesartan Cilexetil,Candesartan Cilexetil
Candesartan-Hydrochlorothiazid,Candesartan/Hydrochlorothiazid
Capecitabine,Capecitabine
Capex Shampoo,Fluocinolone Acetonide
Caplyta,Lumateperone Tosylate
Caprelsa,Vandetanib
Captopril,Captopril
Carafate,Sucralfate
Carbaglu,Carglumic Acid
Carbamazepine,Carbamazepine
Carbamazepine ER,Carbamazepine
Carbatrol,Carbamazepine
Carbidopa,Carbidopa
Carbidopa-Levodopa,Carbidopa/Levodopa
Carbidopa-Levodopa ER,Carbidopa/Levodopa
Carbidopa-Levodopa-Entacapone,Carbidopa/Levodopa/Entacapone
Carbinoxamine Maleate,Carbinoxamine Maleate
Carbocaine,Mepivacaine HCl
Carboplatin,Carboplatin
Carboprost Tromethamine,Carboprost Tromethamine
Carboxymethylcellulose Sodium,Carboxymethylcellulose Sodium
Cardene I.V.,"Nicardipine In NaCl, Iso-Osm"
Cardiolite,Kit For Tc 99m/Sestamibi No.1
Cardizem,Diltiazem HCl
Cardizem CD,Diltiazem HCl
Cardizem La,Diltiazem HCl
Cardura,Doxazosin Mesylate
Cardura XL,Doxazosin Mesylate
Carglumic Acid,Carglumic Acid
Carisoprodol,Carisoprodol
Carmustine,Carmustine
Carnitor,Levocarnitine (With Sugar)
Carnitor SF,Levocarnitine
Carnitor*,Levocarnitine
Carospir,Spironolactone
Carteolol HCl,Carteolol HCl
Cartia Xt,Diltiazem HCl
Carvedilol,Carvedilol
Carvedilol ER,Carvedilol Phosphate
Casirivimab (Regn10933) (Eua),Casirivimab
Caspofungin Acetate,Caspofungin Acetate
Catapres,Clonidine HCl
Catapres-Tts 1,Clonidine
Catapres-Tts 2,Clonidine
Catapres-Tts 3,Clonidine
Cathflo Activase,Alteplase
Caverject,Alprostadil
Caya Contoured,"Diaphragms, Contoured"
Cayston,Aztreonam Lysine
Cefaclor,Cefaclor
Cefaclor ER,Cefaclor
Cefadroxil,Cefadroxil
Cefazolin Sodium*,Cefazolin Sodium
Cefazolin Sodium-Dextrose,"Cefazolin Sodium/Dextrose,Iso"
Cefdinir,Cefdinir
Cefepime,Cefepime In Iso-Osm Dextrose
Cefepime HCl,Cefepime HCl
Cefepime-Dextrose,Cefepime HCl In Dextrose 5 %
Cefixime,Cefixime
Cefotan,Cefotetan Disodium
Cefotetan,Cefotetan Disodium
Cefotetan & Dextrose,Cefotetan Disod/Isosm Dextrose
Cefoxitin,Cefoxitin Sodium
Cefoxitin Sodium,"Cefoxitin Sodium/Dextrose,Iso"
Cefpodoxime Proxetil,Cefpodoxime Proxetil
Cefprozil,Cefprozil
Ceftazidime,Ceftazidime
Ceftriaxone,Ceftriaxone In Is-Osm Dextrose
Ceftriaxone*,Ceftriaxone Sodium
Cefuroxime,Cefuroxime Axetil
Cefuroxime Sodium*,Cefuroxime Sodium
Celebrex,Celecoxib
Celecoxib,Celecoxib
Celestone,"Betamethasone Acetate,Sod Phos"
Celexa,Citalopram Hydrobromide
Cellcept,Mycophenolate Mofetil
Celontin,Methsuximide
Centany,Mupirocin
Centratex,"Iron Fum/Folic Acid/Mv,Min 15"
Centrum Adult 50 Fresh-Fruity,Multivit-Minerals/Folic Acid
Centrum Adults,Multivitamin/Iron/Folic Acid
Centrum Chewables,Multivit-Min/Iron/Folic/Vit K1
Centrum Silver,Multivit-Min/FA/Lycopen/Lutein
Centrum Silver Ultra Men's,Multivit-Min/FA/Lycopen/Lutein
Centrum Silver Women,Multivit-Min/Iron/Folic/Lutein
Century,Multivit-Min/FA/Lycopen/Lutein
Cepacol Sore Throat,Benzocaine/Menthol
Cephalexin,Cephalexin
Ceprotin,"Protein C, Human"
Cequa,Cyclosporine
Cerave,"Ceramides 1,3,6-II"
Cerdelga,Eliglustat Tartrate
Cerebyx,Fosphenytoin Sodium
Cerezyme,Imiglucerase
Cerovite Advanced Formula,Multivitamin/Iron/Folic Acid
Cerovite Jr,Pedi Multivit 158/Iron/Vit K1
Cerovite Senior,Multivit-Min/FA/Lycopen/Lutein
Certavite Senior,Multivit-Min/FA/Lycopen/Lutein
Certavite-Antioxidant,Multivitamin/Iron/Folic Acid
Cervidil,Dinoprostone
Cetaphil,Emollient Combination No.40
Cetaphil Restoraderm,Emollient Combination No.62
Cetirizine HCl,Cetirizine HCl
Cevimeline HCl,Cevimeline HCl
Chantix,Varenicline Tartrate
Charlotte 24 Fe,Norethindrone-E.Estradiol-Iron
Chateal,Levonorgestrel/Ethin.Estradiol
Chateal Eq,Levonorgestrel/Ethin.Estradiol
Chemet,Succimer
Chenodal,Chenodiol
Cherry Syrup,Cherry Flavor
Chewable-Vite,Multivitamin
Child Chew + Iron,Multivitamin With Iron
Children's Chew Multivit-Iron,Pedi Multivit No.91/Iron Fum
Children's Chewable,Pedi Multivit No.31/Iron/Folic
