Brnd_Name,Total # of Manufacturers,2018 Spent on Drug,2019 Spent on Drug,2020 Spent on Drug,2021 Spent on Drug,2022 Spent on Drug
Ibuprofen,22,"$84,809,384.34","$103,043,782.19","$95,225,456.20","$100,273,304.76","$121,400,422.50"
Sildenafil Citrate,22,"$7,160,964.98","$29,111,561.17","$51,844,439.53","$51,057,159.75","$36,550,393.71"
Metoprolol Succinate,22,"$59,186,864.83","$58,061,711.19","$53,025,678.53","$55,247,428.08","$55,765,946.90"
Morphine Sulfate*,22,"$44,378,468.83","$56,471,546.98","$61,249,543.79","$64,944,152.52","$60,460,181.83"
Vancomycin HCl*,22,"$35,400,664.23","$36,463,699.20","$39,303,507.14","$38,911,302.18","$34,630,033.94"
Ondansetron HCl,22,"$122,409,788.95","$179,627,446.30","$197,290,278.22","$218,955,492.60","$196,128,287.45"
Aripiprazole,22,"$194,409,794.17","$145,913,828.38","$111,166,827.51","$104,059,643.65","$94,343,124.95"
Hydrocodone-Acetaminophen,22,"$120,582,640.27","$100,972,303.21","$89,018,859.33","$83,886,269.67","$81,896,187.28"
Clindamycin Phosphate*,21,"$64,379,705.01","$68,926,132.05","$65,623,877.70","$76,115,703.43","$73,735,312.43"
Duloxetine HCl,21,"$92,954,781.57","$80,920,676.81","$72,873,371.49","$77,291,479.88","$75,330,506.04"
Tizanidine HCl,21,"$35,480,038.74","$33,436,566.55","$29,804,748.03","$29,622,811.69","$28,714,327.55"
Metformin HCl ER,21,"$12,611,281.90","$15,351,345.01","$17,610,642.10","$21,219,042.43","$24,901,747.41"
Buspirone HCl,20,"$44,552,909.91","$51,372,010.51","$56,604,285.34","$61,721,840.20","$63,430,246.74"
Dextrose In Water,20,"$23,555,040.18","$34,120,717.59","$27,483,280.52","$26,329,333.86","$30,361,059.76"
Quetiapine Fumarate,20,"$66,832,611.06","$66,993,016.57","$70,267,623.39","$72,486,974.06","$65,888,000.45"
Methylphenidate HCl,20,"$43,331,386.06","$35,750,007.62","$28,974,042.36","$30,096,238.40","$29,045,199.57"
Folic Acid*,20,"$17,052,834.97","$21,967,663.41","$24,429,243.73","$25,834,465.13","$27,599,171.33"
Sodium Chloride*,20,"$236,049,368.90","$308,247,303.35","$336,017,935.61","$326,954,618.54","$348,276,217.39"
Sodium Chloride,20,"$2,962,160.42","$14,137,742.54","$22,126,275.59","$23,630,023.04","$37,997,517.56"
Tacrolimus*,20,"$56,392,098.01","$58,219,059.77","$64,286,171.79","$61,575,857.16","$60,756,834.09"
Venlafaxine HCl ER,20,"$60,970,706.17","$62,205,561.86","$62,726,006.77","$60,929,160.41","$58,091,420.31"
Methylphenidate ER,19,"$564,366,196.57","$419,129,709.34","$246,338,881.52","$158,119,233.34","$117,540,662.90"
Albuterol Sulfate*,19,"$86,412,522.14","$88,687,862.16","$66,870,035.15","$70,986,209.19","$76,045,696.03"
Sumatriptan Succinate*,19,"$34,134,497.67","$31,164,951.22","$30,398,796.59","$31,578,741.77","$30,079,699.32"
Lansoprazole,19,"$23,774,454.51","$31,370,607.48","$26,643,281.25","$21,174,040.29","$17,836,264.93"
Memantine HCl,19,"$4,493,488.06","$4,419,246.19","$4,245,251.20","$4,549,421.91","$4,039,026.91"
Escitalopram Oxalate,19,"$42,398,879.16","$46,387,686.10","$51,123,445.21","$60,019,218.57","$65,251,303.58"
Lisinopril,19,"$56,322,412.74","$63,200,016.67","$68,410,930.21","$71,238,939.58","$74,258,127.88"
Tadalafil,19,"$300,681.94","$5,533,677.16","$9,456,652.88","$17,278,645.89","$12,528,222.34"
Rosuvastatin Calcium,19,"$15,016,157.22","$17,795,364.99","$21,001,423.39","$29,713,613.00","$36,026,054.64"
Fluocinolone Acetonide,19,"$18,266,164.34","$10,942,706.57","$7,855,093.18","$8,672,118.75","$6,934,145.49"
Cyclobenzaprine HCl,19,"$27,056,431.15","$30,247,909.45","$32,716,817.16","$34,998,967.04","$38,456,874.49"
Fluocinonide,19,"$23,246,994.31","$18,273,091.66","$12,889,269.54","$14,035,566.37","$11,594,293.02"
Butalbital-Acetaminophen-Caffe,19,"$28,716,130.23","$26,525,776.56","$21,373,817.80","$19,364,840.11","$15,275,228.36"
Fulvestrant,19,$0.00,"$7,021,065.82","$17,925,851.43","$15,207,468.16","$8,698,054.52"
Pregabalin,19,$0.00,"$25,851,931.14","$61,895,727.93","$47,859,324.84","$47,237,200.50"
Clopidogrel,19,"$15,324,769.91","$19,670,067.88","$22,110,027.24","$23,304,012.30","$20,566,004.50"
Hydralazine HCl*,19,"$12,649,755.29","$17,546,432.91","$17,739,993.50","$19,748,812.04","$20,116,815.70"
Chlorthalidone,19,"$15,609,007.89","$15,982,779.20","$14,698,552.09","$13,993,132.68","$13,178,543.47"
Heparin Sodium,19,"$93,267,667.80","$106,054,043.24","$218,860,414.01","$261,954,120.89","$113,589,607.69"
Lamotrigine,19,"$38,174,981.64","$35,600,294.79","$40,730,186.00","$45,818,042.23","$46,199,729.88"
Citalopram HBr,19,"$23,963,882.35","$24,582,753.82","$24,270,903.14","$24,021,241.46","$23,418,058.01"
Naproxen,19,"$31,762,797.75","$33,043,996.62","$32,073,927.72","$33,126,853.76","$34,632,716.78"
Prednisone,18,"$38,407,802.45","$43,835,301.18","$36,460,259.39","$38,509,740.10","$44,793,008.45"
Donepezil HCl,18,"$3,938,115.34","$4,020,563.45","$3,441,695.52","$3,314,380.43","$4,108,795.68"
Hydroxychloroquine Sulfate,18,"$34,195,442.53","$27,450,368.97","$20,514,563.06","$22,008,470.99","$20,277,617.35"
Succinylcholine Chloride,18,$179.55,"$892,002.86","$2,751,051.97","$2,105,366.08","$2,244,853.07"
Ceftriaxone*,18,"$31,653,862.49","$37,628,175.18","$43,559,151.99","$45,810,075.94","$39,601,708.67"
Clomipramine HCl,18,"$21,051,709.75","$17,154,797.59","$13,806,737.61","$10,328,165.47","$6,699,183.42"
Chlorpromazine HCl*,18,"$82,163,154.56","$70,705,630.75","$64,496,076.49","$52,570,035.13","$36,135,494.19"
Docetaxel,18,"$18,321,007.85","$14,358,858.87","$10,247,472.62","$8,393,779.23","$15,652,454.67"
Palonosetron HCl,18,"$24,839,124.32","$31,669,486.45","$21,314,260.60","$18,755,027.08","$12,638,074.40"
Amantadine,18,"$16,062,674.66","$6,887,835.13","$6,277,148.53","$6,236,619.88","$6,365,758.65"
Tranexamic Acid*,18,"$2,202,421.56","$3,705,657.00","$7,251,316.35","$11,530,260.19","$13,827,385.06"
Midazolam HCl*,18,"$41,201,781.30","$57,913,461.68","$68,618,560.66","$67,623,102.52","$72,690,460.56"
Ursodiol,18,"$25,032,861.89","$20,862,208.78","$16,272,202.70","$17,301,735.00","$17,071,891.04"
Decitabine,18,"$3,850,577.04","$3,051,635.18","$2,423,984.84","$3,340,387.83","$1,201,424.56"
Ciprofloxacin HCl*,18,"$12,380,942.62","$12,406,325.76","$11,353,124.74","$11,083,776.13","$13,277,755.80"
Hydrochlorothiazide,18,"$21,626,317.64","$26,833,175.57","$29,131,867.56","$26,964,041.71","$29,601,497.49"
Omeprazole,18,"$74,943,249.97","$71,486,366.05","$80,206,099.17","$82,953,770.46","$86,737,821.88"
Buprenorphine-Naloxone,18,"$167,290,977.69","$315,888,637.84","$440,534,449.41","$421,902,531.14","$400,645,260.81"
Amiodarone HCl*,17,"$3,538,854.67","$4,410,895.69","$4,345,284.49","$5,142,446.49","$4,753,527.21"
Nadolol,17,"$6,765,363.93","$5,388,950.87","$3,797,378.07","$3,640,558.14","$2,984,684.00"
Naloxone HCl*,17,"$2,535,172.80","$2,476,426.87","$2,629,999.05","$2,959,888.33","$48,946,391.37"
Diazepam*,17,"$44,140,874.15","$51,775,167.02","$48,602,359.72","$47,892,991.65","$39,437,812.25"
Clobazam,17,"$11,975,455.36","$47,969,598.95","$40,352,366.04","$39,152,711.24","$40,459,278.83"
Testosterone,17,"$8,791,117.28","$16,650,060.23","$15,273,362.62","$15,851,524.47","$15,146,806.10"
Sevelamer Carbonate,17,"$37,049,526.50","$28,767,272.15","$22,296,048.90","$23,846,724.39","$16,517,151.50"
Rocuronium Bromide,17,"$1,534,976.18","$16,164,239.17","$21,138,962.59","$27,695,876.90","$23,665,994.00"
Metoclopramide HCl*,17,"$22,675,040.67","$21,653,416.22","$18,263,425.72","$20,388,927.07","$19,853,260.39"
Allopurinol,17,"$11,030,612.59","$11,355,772.15","$10,647,403.11","$11,515,182.99","$11,068,304.83"
Benzonatate,17,"$17,106,374.06","$17,837,681.08","$13,965,605.42","$13,459,197.80","$21,485,655.41"
Levothyroxine Sodium*,17,"$126,252,869.77","$126,117,755.48","$126,204,027.10","$121,957,111.99","$105,937,231.75"
Desmopressin Acetate*,17,"$24,569,745.01","$23,286,517.77","$20,918,058.18","$18,526,981.38","$17,385,070.84"
Oxycodone-Acetaminophen,17,"$82,312,576.85","$73,134,912.27","$68,950,247.88","$57,441,062.37","$48,001,039.64"
Azacitidine,17,"$4,635,773.82","$4,568,440.89","$4,979,113.22","$2,700,201.93","$2,139,721.32"
Sulfamethoxazole-Trimethoprim*,17,"$30,475,784.17","$29,757,595.25","$23,304,269.30","$22,456,453.35","$23,160,880.62"
Carvedilol,16,"$19,236,814.12","$24,980,533.07","$28,082,349.53","$30,150,709.59","$27,473,653.17"
Valsartan,16,"$6,917,220.60","$5,554,739.07","$7,245,366.48","$9,471,136.19","$11,260,820.30"
Cyclophosphamide*,16,"$27,566,031.80","$24,772,079.65","$20,463,544.12","$18,034,903.66","$18,361,823.29"
CyproHEPtadine HCl,16,"$14,178,929.02","$14,665,218.26","$13,322,441.85","$12,782,464.36","$12,835,376.07"
Simvastatin,16,"$19,139,976.47","$18,637,746.94","$17,745,535.24","$16,665,395.04","$16,346,362.47"
Magnesium Sulfate,16,"$12,905,287.91","$24,263,560.20","$24,910,741.10","$24,360,030.47","$30,013,538.11"
Dicyclomine HCl*,16,"$13,070,048.38","$18,135,687.08","$19,752,605.83","$21,317,105.73","$22,458,226.04"
Irinotecan HCl,16,"$7,036,983.90","$8,839,704.17","$5,442,641.85","$4,566,642.05","$5,121,898.64"
Cinacalcet HCl,16,$0.00,"$56,960,442.01","$76,040,549.37","$64,783,642.08","$45,408,895.20"
Capecitabine,16,"$35,485,890.78","$31,477,038.84","$27,248,252.11","$25,627,321.96","$13,876,174.75"
Vitamin D3,16,"$1,950,588.35","$2,471,458.11","$2,679,155.21","$1,576,784.71","$1,512,153.40"
Oxybutynin Chloride,16,"$13,067,493.24","$11,311,867.35","$9,192,857.79","$8,537,887.97","$7,744,484.61"
Ipratropium Bromide*,16,"$9,198,092.56","$11,808,570.20","$10,465,376.73","$10,322,592.89","$11,319,065.27"
Risperidone,16,"$36,584,879.39","$35,034,446.66","$36,102,660.64","$35,532,649.41","$32,443,145.67"
Dextroamphetamine-Amphetamine,16,"$104,841,230.63","$99,104,019.66","$95,193,397.77","$99,247,221.32","$94,187,894.34"
Voriconazole*,16,"$10,769,135.92","$12,155,678.17","$13,312,328.61","$9,390,372.28","$6,050,812.18"
Neostigmine Methylsulfate*,16,"$5,720,497.08","$6,202,138.38","$5,149,052.20","$5,551,603.44","$3,477,124.81"
Tramadol HCl,16,"$24,523,633.88","$23,104,851.69","$21,273,615.21","$21,832,773.63","$21,383,859.50"
Azelastine HCl*,16,"$17,334,344.35","$19,055,945.98","$15,034,636.48","$17,791,270.04","$18,462,395.64"
Clonidine HCl,16,"$31,370,909.37","$34,882,578.10","$37,535,923.27","$38,879,308.94","$35,792,398.06"
Ezetimibe,16,"$10,101,064.10","$10,620,865.69","$9,070,100.29","$11,702,805.57","$13,043,074.34"
Midodrine HCl,16,"$6,402,629.52","$8,005,029.37","$9,132,325.21","$10,628,383.85","$10,594,795.55"
Mycophenolate Mofetil,16,"$34,736,317.65","$35,795,710.22","$35,915,514.05","$36,951,260.06","$31,644,945.88"
Ciclopirox,16,"$6,073,653.64","$6,751,579.16","$5,696,672.67","$6,556,979.99","$8,219,538.02"
Lacosamide*,15,$0.00,$0.00,$0.00,$0.00,"$30,274,236.69"
Gemcitabine HCl,15,"$7,692,685.03","$5,933,956.52","$5,015,359.85","$4,456,803.42","$4,123,074.98"
Topiramate,15,"$37,001,922.17","$35,970,979.72","$39,499,437.52","$42,236,473.68","$38,789,817.12"
Carisoprodol,15,"$2,892,245.45","$2,015,537.99","$1,425,801.37","$1,279,413.35","$1,406,943.03"
Valacyclovir,15,"$24,765,769.60","$27,764,215.66","$29,416,976.72","$36,877,438.24","$39,491,358.34"
Doxycycline Monohydrate,15,"$14,671,832.17","$13,513,292.57","$11,853,976.82","$14,573,417.45","$15,783,404.63"
Sucralfate,15,"$14,874,539.15","$18,198,066.04","$47,370,544.05","$53,375,115.01","$48,394,132.92"
Tamsulosin HCl,15,"$20,615,367.73","$21,932,998.04","$21,292,591.44","$22,111,091.20","$24,724,446.53"
Esomeprazole Magnesium,15,"$28,100,872.76","$21,071,069.36","$15,501,636.42","$17,404,503.34","$15,935,181.26"
Ferrous Sulfate,15,"$768,868.59","$599,048.44","$735,041.16","$816,358.74","$721,051.30"
Meloxicam,15,"$18,702,577.32","$18,390,355.71","$20,041,241.62","$23,141,779.93","$47,540,686.52"
Olanzapine*,15,"$33,673,220.93","$45,140,234.33","$33,360,264.83","$35,528,314.73","$31,748,110.20"
Mesalamine*,15,"$38,080,713.00","$45,675,890.59","$43,951,189.03","$44,158,821.40","$38,829,297.38"
Sertraline HCl,15,"$64,825,232.58","$72,149,882.22","$78,972,406.62","$88,905,503.95","$95,842,869.66"
Levofloxacin*,15,"$6,562,059.38","$6,304,250.00","$5,585,010.22","$5,717,347.95","$5,756,298.30"
Phenobarbital,15,"$13,985,035.34","$12,333,587.64","$11,441,558.54","$10,285,512.93","$8,578,117.42"
Colchicine,15,"$33,247,648.66","$34,524,323.92","$30,752,011.13","$21,487,742.06","$16,250,323.06"
Calcitriol*,15,"$14,817,115.24","$21,653,165.84","$43,895,376.03","$36,256,858.90","$21,848,891.55"
Nitrofurantoin,15,"$13,714,737.83","$5,735,207.01","$5,635,454.54","$19,983,479.05","$29,872,201.15"
Leucovorin Calcium*,15,"$15,991,091.32","$19,110,719.19","$14,242,960.28","$12,693,160.89","$14,640,733.97"
Bumetanide*,15,"$9,013,416.37","$9,829,618.44","$10,416,057.00","$11,122,175.06","$9,471,633.10"
Emtricitabine-Tenofovir Disop,15,$0.00,$0.00,"$29,829,813.93","$95,372,935.01","$57,169,344.99"
Doxorubicin HCl,14,"$7,634,067.63","$5,483,146.23","$5,073,329.31","$4,638,715.49","$9,560,199.30"
Hydroxyzine HCl*,14,"$32,921,655.16","$42,311,349.55","$47,270,877.93","$52,787,727.76","$62,261,465.60"
Verapamil HCl*,14,"$1,012,205.42","$2,796,498.41","$3,223,231.05","$4,957,065.53","$4,039,606.07"
Dextroamphetamine-Amphet ER,14,"$173,737,145.63","$168,264,781.95","$154,347,637.56","$115,709,259.61","$91,202,960.81"
Bortezomib*,14,"$745,390.64","$748,177.63","$1,136,606.08","$1,167,096.30","$6,552,131.57"
Ampicillin Sodium*,14,"$1,440,318.18","$1,535,416.64","$1,474,217.59","$1,571,168.23","$1,288,667.13"
Oxybutynin Chloride ER,14,"$14,654,122.71","$14,662,336.15","$13,175,687.68","$13,669,963.54","$11,981,661.38"
Abiraterone Acetate,14,"$1,304,822.19","$28,399,480.50","$23,489,154.88","$36,443,434.47","$36,871,922.22"
Levocetirizine Dihydrochloride,14,"$5,836,834.27","$6,492,370.08","$7,664,616.26","$8,039,461.93","$9,180,621.17"
Deferasirox,14,$0.00,"$13,641,680.57","$66,653,997.52","$74,371,029.54","$49,298,538.48"
Rivastigmine,14,"$2,478,412.44","$2,008,372.46","$1,537,504.83","$1,386,375.92","$1,194,102.74"
Olmesartan Medoxomil,14,"$1,289,907.38","$1,867,652.89","$2,941,914.07","$3,733,275.25","$4,556,084.50"
Rizatriptan,14,"$6,623,340.24","$7,166,169.62","$8,463,928.00","$9,886,284.00","$10,450,454.11"
Hydrocortisone*,14,"$23,885,331.72","$27,233,566.27","$24,752,708.98","$28,429,828.67","$30,121,460.26"
Clonazepam,14,"$34,382,838.80","$34,221,863.71","$34,881,809.67","$35,470,286.77","$34,069,926.45"
Methotrexate*,14,"$16,880,524.69","$15,654,891.16","$13,826,811.12","$13,862,123.39","$12,036,676.30"
Pravastatin Sodium,14,"$21,149,249.34","$19,634,317.69","$15,874,774.52","$14,871,000.02","$13,199,796.39"
Fluconazole,14,"$28,573,033.50","$29,581,759.22","$28,836,068.70","$31,069,207.31","$31,017,436.87"
Propranolol HCl*,14,"$26,761,820.63","$26,783,660.34","$26,710,083.48","$28,766,083.50","$30,606,408.73"
Dexmedetomidine HCl,14,"$79,071.03","$2,951,366.42","$10,555,233.39","$11,190,448.92","$9,295,958.59"
Spironolactone,14,"$16,154,559.00","$21,507,787.69","$24,028,620.63","$28,118,544.39","$28,992,302.13"
Divalproex Sodium ER,14,"$66,448,097.70","$50,259,235.90","$38,519,298.23","$36,102,360.49","$31,669,535.13"
Ephedrine Sulfate*,14,"$150,818.21","$2,010,456.25","$2,480,743.79","$2,918,198.49","$4,389,265.82"
Calcium Acetate,14,"$5,809,737.21","$4,922,356.87","$6,553,121.70","$8,155,901.57","$6,097,552.11"
Oseltamivir Phosphate,13,"$216,241,291.64","$241,423,303.82","$166,787,845.58","$15,295,264.35","$114,099,581.82"
Ertapenem,13,"$6,009,140.12","$20,626,656.75","$19,974,979.88","$22,833,073.83","$18,727,198.34"
Cephalexin,13,"$50,813,306.24","$50,691,885.75","$41,917,487.25","$48,673,114.45","$55,556,689.90"
Dexamethasone Sodium Phosphate*,13,"$118,887,054.50","$112,719,053.05","$103,242,088.10","$115,155,322.64","$129,971,945.62"
Enalapril Maleate,13,"$12,242,654.78","$12,272,825.45","$10,104,070.65","$12,358,106.99","$20,114,873.89"
Valproic Acid,13,"$6,687,560.48","$7,005,994.68","$6,683,267.67","$6,872,716.49","$6,484,796.15"
Fluorouracil*,13,"$12,833,372.04","$14,987,208.44","$9,949,812.33","$9,358,116.84","$12,782,060.65"
Desonide,13,"$15,360,612.43","$10,095,052.77","$6,923,193.39","$7,081,315.94","$5,391,147.76"
Benztropine Mesylate*,13,"$18,751,611.07","$19,453,609.33","$18,622,947.92","$18,563,414.92","$16,639,826.27"
Olopatadine HCl*,13,"$11,220,916.93","$8,135,654.77","$8,184,650.62","$8,436,249.93","$5,940,538.38"
Cefazolin Sodium*,13,"$32,569,519.77","$59,839,524.37","$76,261,108.97","$88,314,654.72","$84,930,614.49"
Finasteride,13,"$3,288,532.04","$3,744,717.52","$3,753,150.39","$3,861,049.14","$3,867,027.90"
Fluphenazine HCl*,13,"$18,573,915.04","$33,306,430.66","$37,792,026.37","$27,662,136.96","$18,030,180.55"
Progesterone,13,"$6,722,361.14","$7,271,095.18","$8,023,504.80","$9,879,582.35","$10,813,420.02"
Propofol,13,"$22,896,246.69","$43,411,264.06","$43,906,710.10","$50,982,751.50","$50,126,014.20"
Glimepiride,13,"$9,915,616.24","$9,504,776.76","$8,622,790.60","$8,497,547.93","$7,995,828.52"
Pemetrexed Disodium,13,$0.00,$0.00,$0.00,$0.00,"$13,513,810.68"
Diltiazem HCl*,13,"$2,333,488.03","$2,516,926.92","$2,843,629.05","$2,899,923.69","$2,491,511.73"
Valganciclovir HCl,13,"$23,424,941.91","$18,756,515.08","$17,065,483.80","$16,473,928.50","$12,418,933.63"
Diphenoxylate-Atropine,13,"$4,736,159.63","$3,984,834.71","$3,246,330.79","$3,103,724.81","$2,949,272.27"
Ketoconazole*,13,"$34,941,436.08","$41,464,470.18","$41,239,476.91","$42,633,610.35","$46,111,942.61"
Isosorbide Dinitrate,13,"$5,308,990.69","$5,496,781.19","$6,628,617.73","$8,466,592.22","$7,787,741.70"
Acetazolamide,13,"$9,518,296.48","$8,449,869.87","$7,977,365.93","$6,977,500.55","$5,520,313.42"
Ranolazine ER,13,$0.00,"$17,818,704.36","$10,775,212.77","$10,726,465.32","$8,768,076.38"
Acetaminophen*,13,"$2,111.90","$8,432.80","$81,353.02","$13,179,068.57","$21,878,896.45"
Mupirocin,13,"$44,524,143.75","$40,744,604.14","$32,034,769.40","$32,099,818.36","$33,036,564.09"
Losartan-Hydrochlorothiazide,13,"$10,941,121.31","$10,070,260.66","$25,442,715.97","$19,947,580.53","$16,666,654.24"
Methadone HCl*,13,"$7,583,405.35","$13,480,259.60","$21,915,152.19","$23,449,157.86","$23,177,704.64"
Zonisamide,12,"$9,634,532.42","$11,805,668.84","$10,835,518.87","$14,221,693.53","$12,486,972.28"
Paclitaxel,12,"$11,548,815.26","$9,016,305.61","$9,279,146.73","$6,165,425.02","$8,180,445.46"
Dexmedetomidine-0.9% NaCl,12,$0.00,"$243,912.33","$174,239.60","$727,672.86","$9,697,570.21"
Magnesium Oxide,12,"$153,307.99","$206,543.83","$589,255.31","$634,716.95","$830,309.56"
Hydroxyzine Pamoate,12,"$23,723,895.36","$18,147,988.75","$21,804,806.34","$25,361,985.30","$28,953,474.50"
Oxcarbazepine,12,"$65,272,368.78","$62,898,972.61","$73,000,619.21","$76,209,086.93","$70,340,950.52"
Estradiol*,12,"$22,155,608.28","$25,620,116.64","$25,219,017.56","$27,483,533.59","$25,989,021.56"
Paroxetine HCl,12,"$14,675,539.79","$15,107,262.94","$15,322,674.68","$15,589,598.08","$15,986,209.36"
Paliperidone ER,12,"$113,038,034.82","$90,632,003.46","$85,283,934.45","$69,728,523.24","$54,871,773.83"
Atomoxetine HCl,12,"$115,612,941.79","$105,006,443.00","$91,582,016.97","$86,531,513.26","$78,632,984.46"
Nifedipine ER,12,"$15,634,609.69","$18,962,030.67","$18,002,710.23","$20,183,443.57","$19,277,055.32"
Solifenacin Succinate,12,$0.00,"$3,788,574.11","$5,039,630.43","$5,697,373.36","$5,860,653.63"
Gentamicin Sulfate*,12,"$10,592,011.40","$11,190,466.02","$9,172,651.06","$9,435,451.56","$8,837,711.63"
Prochlorperazine Edisylate,12,"$3,740,866.88","$7,470,810.74","$7,885,156.11","$9,238,596.44","$10,553,255.56"
Atenolol,12,"$10,136,715.55","$9,901,181.58","$9,537,773.52","$9,167,797.12","$9,410,656.85"
Zolpidem Tartrate*,12,"$15,077,559.69","$13,670,113.46","$12,415,543.59","$12,024,747.02","$11,939,959.60"
Water*,12,"$9,318,317.83","$12,398,589.56","$18,722,468.97","$23,043,494.19","$42,940,370.04"
Atropine Sulfate*,12,"$8,213,642.45","$8,227,399.61","$7,819,287.56","$7,773,613.55","$7,528,771.86"
Adenosine,12,"$1,850,164.30","$1,651,593.13","$1,368,416.87","$1,855,684.96","$2,560,920.29"
