Mftr_Name,2018 Medicaid Spend,2018 Medicaid Units Produced,2019 Medicaid Spend,2019 Medicaid Units Produced,2020 Medicaid Spend,2020 Medicaid Units Produced,2021 Medicaid Spend,2021 Medicaid Units Produced,2022 Medicaid Spend,2022 Medicaid Units Produced
Apotex Corp,"$272,861,813.05",591559224.0,"$302,212,371.08",549654933.0,"$296,914,708.64",593361790.0,"$313,230,264.60",563886120.0,"$367,703,365.63",497533798.0
Apotex Corp*,"$31,580,082.01",10858688.0,"$30,205,735.30",12411819.0,"$24,027,671.15",13704248.0,"$23,402,320.38",12093300.0,"$44,854,564.55",17078669.0
Apotex/Novaplus,"$520,731.50",259867.0,"$941,213.25",216584.0,"$1,493,097.63",239383.0,"$3,503,212.46",246590.0,"$1,837,692.61",189134.0
App/Fresenius K,"$218,763,993.92",32044403.0,"$254,208,957.56",33154258.0,"$353,632,030.93",34217782.0,"$223,489,324.30",26553394.0,"$188,068,150.48",20742636.0
App/Fresenius K*,"$5,706,086.28",755132.0,"$4,095,656.43",969105.0,"$3,535,663.95",1225732.0,"$3,675,115.08",377168.0,"$1,973,574.81",385381.0
App/Premierpro,"$8,212,955.16",270048.0,"$7,296,045.33",270290.0,"$6,405,064.33",286579.0,"$6,540,283.01",311107.0,"$6,032,230.89",301481.0
Aprecia Pharmac,"$472,831.72",60764.0,"$44,798.98",5597.0,"$288,578.82",33780.0,"$544,898.15",61477.0,"$885,853.07",93357.0
Aptalis/Allerga,"$48,902,961.44",96241445.0,"$51,739,218.34",88874231.0,"$17,672,057.35",20178576.0,"$16,952,666.19",14398164.0,"$21,804,088.23",14426328.0
Aptevo Biothera,"$1,291,195.53",863159.0,"$3,666,944.84",2454121.0,"$3,003,700.54",1836164.0,"$3,770,979.18",2125913.0,"$2,303,144.74",1227187.0
Aquestive/Otter,$0.00,0.0,"$1,886,413.83",80379.0,"$4,734,282.11",186914.0,"$7,560,301.92",285823.0,"$9,564,854.90",333715.0
Aralez/Xspire P,"$338,234.99",36992.0,"$205,288.49",20020.0,"$125,325.01",12133.0,"$56,401.67",4821.0,"$26,111.86",2152.0
Arbor Pharmaceu,"$69,529,674.33",23823038.0,"$35,239,963.48",12035544.0,"$2,485,750.80",693801.0,"$720,820.42",189770.0,"$133,493.63",35752.0
Arbor/Azurity,"$40,545,719.34",6913064.0,"$35,715,444.92",5522758.0,"$38,174,341.33",4099071.0,"$58,172,503.73",4546941.0,"$65,354,222.45",4103934.0
Arbor/Wraser,"$465,978.87",28064.0,"$496,012.26",22496.0,"$140,198.72",4328.0,"$73,733.50",1626.0,"$53,703.63",374.0
Archis Pharma L,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$997,379.69",528755.0
Arcutis Biother,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$349,005.39",25290.0
"Ardelyx, Inc",$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$1,649,187.13",65058.0
Areva Pharmaceu,"$230,242.75",8406.0,"$299,496.02",7978.0,"$568,083.66",40127.0,"$367,632.27",8893.0,"$53,687.74",3163.0
"Argenx US, Inc",$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$11,842,689.64",42245.0
Arise Pharmaceu,$0.00,0.0,$0.00,0.0,$612.32,3391.0,"$31,082.31",196178.0,"$32,542.39",141919.0
Armas Pharmaceu,$0.00,0.0,"$1,190,650.11",50933.0,"$4,697,326.75",305608.0,"$1,967,607.34",159574.0,"$4,183,160.98",167137.0
Armas Pharmaceu*,$0.00,0.0,$0.00,0.0,"$68,570.00",9811.0,"$143,948.33",28560.0,"$82,296.75",12071.0
Array/Pfizer,"$1,614,060.23",26820.0,"$14,649,463.92",229917.0,"$22,464,284.52",322652.0,"$30,446,612.47",414919.0,"$37,813,566.52",472010.0
Ascend Laborato,"$126,255,687.17",682702916.0,"$152,206,028.15",801381254.0,"$189,320,152.18",998321903.0,"$214,415,276.28",997595706.0,"$268,512,725.27",1058925009.0
Ascendis Pharma,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$9,457,916.00",6116.0
Asegua Therapeu,$0.00,0.0,"$209,461,394.14",738994.0,"$362,616,050.16",1279437.0,"$400,554,326.40",1416938.0,"$425,295,425.18",1512976.0
Assertio Therap,"$4,336,860.56",156946.0,"$5,038,818.15",157704.0,"$5,208,452.43",144351.0,"$4,686,067.58",120182.0,"$3,027,581.00",54814.0
Assertio/Almati,"$6,881,891.55",892029.0,"$6,664,928.69",744113.0,"$5,441,801.78",605000.0,"$1,627,863.11",181242.0,"$51,744.77",5467.0
Astellas Pharma,"$196,005,147.86",9534632.0,"$214,790,599.29",8774706.0,"$222,442,434.33",7250760.0,"$244,241,276.71",7175095.0,"$278,548,701.19",8523413.0
Astellas Pharma*,"$30,041,718.05",3983628.0,"$26,140,342.68",2857623.0,"$29,139,671.31",3456249.0,"$30,577,446.62",2743371.0,"$32,787,781.25",2132385.0
Astellas/Novapl,"$297,825.32",1741.0,"$470,622.84",2540.0,"$286,958.51",2176.0,"$56,974.65",350.0,"$8,337.90",53.0
Astrazeneca,"$1,365,681,476.10",86555788.0,"$1,537,712,564.78",74258363.0,"$1,504,026,771.22",61419843.0,"$1,789,267,886.37",68499892.0,"$2,101,133,133.70",78469665.0
Astrazeneca Lp/,"$2,113,469.09",2588527.0,"$2,309,839.85",3696098.0,"$1,550,077.19",753857.0,"$845,713.57",74617.0,"$120,237.57",17110.0
Astrazeneca/Ale,$0.00,0.0,$0.00,0.0,"$13,428,348.17",134302.0,"$40,364,497.04",394434.0,"$57,969,402.48",508024.0
Astrazeneca/Cov,"$18,911,268.39",42719.0,"$14,840,784.00",29261.0,"$11,218,455.38",15578.0,"$8,132,710.24",11221.0,"$6,016,522.86",9111.0
Astrazeneca/Pra,$0.00,0.0,$0.00,0.0,"$220,843,131.25",8616051.0,"$232,862,647.58",9419972.0,"$232,102,811.68",9755636.0
Astrazeneca/Ter,"$3,145,716.21",5234.0,"$1,298,622.28",2201.0,"$713,856.35",1236.0,"$246,077.69",356.0,"$23,407.95",38.0
Athenex Pharmac,"$9,564,999.98",263509.0,"$14,659,584.81",616678.0,"$14,256,039.56",767299.0,"$16,637,492.64",886734.0,"$22,072,907.21",1266194.0
Athenex Pharmac*,"$737,142.89",34740.0,"$2,315,982.64",110680.0,"$2,712,544.86",89285.0,"$2,547,939.56",83837.0,"$2,820,189.21",114826.0
Athenex-Novaplu,$0.00,0.0,$0.00,0.0,"$11,141.08",299.0,"$15,393.42",352.0,"$158,091.31",17156.0
Aurinia Pharma,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$9,704,534.27",148590.0,"$31,026,991.56",443640.0
Aurobindo Pharm,"$406,839,166.27",1540130124.0,"$527,594,484.71",2219731122.0,"$500,459,915.74",1979445712.0,"$589,378,703.42",2370958620.0,"$602,899,060.89",2538474659.0
Auromedics-Eugi,"$24,596,804.14",2535281.0,"$54,993,434.45",2153155.0,"$61,133,623.64",3347063.0,"$52,881,330.07",4603733.0,"$54,919,167.06",12529203.0
Auromedics-Nova,"$154,625.74",15546.0,"$446,785.58",19163.0,"$1,131,550.90",25971.0,"$2,947,019.87",15860.0,"$1,146,117.00",12324.0
Auxilium/Endo P,"$10,530,650.04",933885.0,"$10,981,716.77",775707.0,"$12,912,050.21",744855.0,"$17,641,006.73",669050.0,"$16,908,872.26",579628.0
Avadel Legacy P,$0.00,0.0,$0.00,0.0,$168.55,15.0,$589.08,37.0,$37.69,60.0
Avalo Therapeut,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$12,659.33",807.0
Avanir Pharmace,"$38,427,198.72",2397451.0,"$41,043,650.48",2219346.0,"$40,703,304.78",2033846.0,"$37,179,625.54",1753815.0,"$37,161,705.29",1632873.0
Aventis Behring,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,$503.10,2150.0
Aveo Pharmaceut,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$1,943,924.69",1680.0,"$4,672,587.62",3885.0
Averitas Pharma,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$131,940.24",1253.0,"$795,895.15",4776.0
Avet Pharmaceut,"$80,665,562.96",372152578.0,"$90,571,227.09",359067211.0,"$96,513,173.63",399690841.0,"$106,769,789.78",364603191.0,"$128,323,097.90",292488829.0
Avet/Novaplus,"$721,238.65",16484.0,"$1,263,827.62",16832.0,"$488,868.94",16816.0,"$865,823.40",22538.0,"$1,268,220.82",30397.0
Avet/Premierpro,"$10,411,214.81",356319.0,"$16,394,018.22",417370.0,"$17,412,032.36",453594.0,"$12,979,182.40",411497.0,"$10,199,550.84",381833.0
Avion Pharmaceu,"$10,488,309.70",1630524.0,"$10,917,405.20",1465202.0,"$12,038,821.07",1487171.0,"$17,006,148.22",2007334.0,"$16,581,565.91",1895712.0
Avpak,"$851,322.99",323392.0,"$9,379,609.98",460711.0,"$11,928,421.48",439480.0,"$15,730,670.76",680610.0,"$13,746,588.10",904039.0
Axsome Therapeu,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$1,184,887.48",57343.0
"Aytu Biopharma,","$5,341,882.38",783780.0,"$4,198,588.51",591418.0,"$3,598,466.45",485174.0,"$2,865,686.14",357285.0,"$3,415,449.27",402010.0
Azurity Pharmac,"$22,063,335.90",7397576.0,"$27,353,054.88",10137255.0,"$36,879,814.49",11723228.0,"$37,541,557.01",11749427.0,"$32,446,429.72",10299146.0
Azurity-Novaplu,$0.00,0.0,$0.00,0.0,"$26,214.50",30288.0,"$18,911.56",21763.0,"$15,493.01",17404.0
B.Braun,"$108,716,065.02",747569566.0,"$98,327,940.51",1080391797.0,"$112,865,583.71",1111867594.0,"$107,647,427.43",22901784339.0,"$125,251,240.68",1350259179.0
