Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,1581833.68,235244.0,7930.0,6.7242254,199.47461286,0.0,974173.89,148677.0,5076.0,6.5522837426,191.91763002,0.0,865013.05,138907.0,4720.0,6.2272819224,183.26547669,0.0,467516.61,86903.0,2894.0,5.3797522525,161.54685902,0.0,315974.25,56550.0,1869,5.5875198939,169.0605939,1,0.0386202992,-0.045240024
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Teva USA,872735.3,110141.0,3648.0,7.9238004013,239.23665022,0.0,597222.27,97854.0,3274.0,6.1031973144,182.41364386,0.0,797928.36,139459.0,4443.0,5.7215981758,179.59224848,0.0,90690.15,17730.0,529.0,5.1150676819,171.43695652,0.0,1398.55,450.0,15,3.1078888889,93.236666667,1,-0.392405129,-0.208623793
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",1863461.49,289669.0,9743.0,6.433071851,191.26157138,0.0,1312897.33,221883.0,7426.0,5.917070393,176.79737813,0.0,510875.65,86945.0,2855.0,5.8758485249,178.94068301,0.0,885053.3,171234.0,5418.0,5.1686773655,163.35424511,0.0,767968.62,156283.0,4992,4.9139613394,153.83986779,0,-0.049280698,-0.065125458
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,1493704.65,194065.0,6392.0,7.696929637,233.68345588,0.0,811847.47,128854.0,4243.0,6.3005220637,191.33807919,0.0,525567.16,95979.0,3070.0,5.4758557601,171.19451466,0.0,809724.81,140323.0,4321.0,5.770435424,187.39292062,0.0,518085.78,100227.0,3011,5.1691238888,172.06435736,1,-0.104205574,-0.094736821
Abelcet,Amphotericin B Lipid Complex,1,Leadiant Biosci,419811.06,59524.0,485.0,7.052803239,865.58981443,0.0,229060.37,49937.0,444.0,4.5869870036,515.90173423,0.0,150432.96,30817.0,277.0,4.8814926826,543.07927798,0.0,230620.24,42398.7,635.0,5.4393233755,363.18148031,0.0,93767.66,17118.5,376,5.4775628706,249.38207447,1,0.0070301934,-0.061236056
Abilify Maintena,Aripiprazole,1,Otsuka America,361385055.34,188805.633,188829.0,1915.113908,1913.8217929,0.0,462756174.48,223930.709,223236.0,2072.5902715,2072.9460055,0.0,525814654.94,251374.342,252066.0,2092.1494256,2086.0197525,0.0,591313701.24,270441.973,272342.0,2187.0706487,2171.2174444,0.0,664317845.71,286992.551,287673,2315.881517,2309.2811828,0,0.0588965283,0.0486496871
Abilify Mycite,Aripiprazole,1,Otsuka America,0.0,0.0,0.0,0.0,0.0,0.0,22893.15,420.0,14.0,54.5075,1635.225,1.0,122978.17,2250.0,74.0,54.657007508,1661.8671622,1.0,69821.75,1290.0,43.0,54.125387597,1623.7616279,1.0,37050.55,690.0,23,53.696449275,1610.8934783,1,-0.007924901,-0.004984678
Abilify*,Aripiprazole,1,Otsuka America*,454586246.15,14502209.292,438988.0,31.470190828,1035.5322837,0.0,221868678.01,7793729.216,232826.0,28.59849674,952.93772178,1.0,19622310.74,819885.371,22740.0,24.101881237,862.89844943,0.0,13966309.33,560885.487,15336.0,25.082534149,910.68788015,0.0,8372323.46,434896.211,12026,19.383399171,696.18522036,0,-0.227215278,-0.114104204
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,0.0,0.0,0.0,0.0,0.0,0.0,942961.73,23290.0,205.0,40.487837269,4599.8133171,1.0,1056336.87,74287.0,684.0,14.219673294,1544.3521491,1.0,5908902.65,136511.12,1588.0,58.205219957,3720.9714421,0.0,5291244.54,130486.0,1580,53.167354795,3348.8889494,0,-0.086553494,0.0950656552
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,0.0,0.0,0.0,0.0,0.0,0.0,100108.13,10470.0,91.0,9.561425979,1100.0893407,1.0,29541.69,20412.0,186.0,1.4472707231,158.82629032,1.0,20430.94,29293.0,283.0,0.6974683371,72.194134276,1.0,40941.06,33045.0,290,1.2389487063,141.17606897,1,0.7763511837,-0.493969276
Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844909.98,55632.0,497.0,15.187481665,1700.0200805,1.0,1561110.69,74546.0,724,25.94297353,2156.2302348,0,0.7081813892,0.7081813892
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,0.0,0.0,0.0,0.0,0.0,0.0,316182.55,8512.0,73.0,37.145506344,4331.2678082,1.0,194015.36,6600.0,58.0,29.396266667,3345.0924138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2464.0,1232.0,22,2.0,112.0,1,0.0,-0.622391956
Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58909.63,1650.0,16.0,35.702806061,3681.851875,1.0,101046.82,3026.0,29.0,33.392868473,3484.3731034,1.0,125823.04,13116.0,116,9.5930954559,1084.6813793,1,-0.712720234,-0.481643907
Abiraterone Acetate,Abiraterone Acetate,1,Patriot Pharmac,325659.39,4706.0,43.0,69.200890353,7573.474186,1.0,9850135.52,227446.0,2201.0,43.30757859,4475.3001,0.0,4144287.33,129471.0,1335.0,32.00938689,3104.3350787,0.0,145428.68,6150.0,52.0,23.646939837,2796.7053846,1.0,28607.94,1320.0,11,21.672681818,2600.7218182,1,-0.083488943,-0.251916212
Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569935.23,12960.0,110.0,43.976483796,5181.2293636,1.0,557435.33,25646.0,218,21.735761132,2557.0427982,1,-0.505741268,-0.505741268
Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121802.34,52324.0,469.0,21.439537115,2391.9026439,0.0,604794.76,39950.0,358.0,15.138792491,1689.370838,0.0,394616.1,26452.0,232,14.918195222,1700.9314655,0,-0.014571656,-0.165837925
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,412644.72,8836.0,80.0,46.70039837,5158.059,1.0,6267751.49,177206.0,1656.0,35.369860445,3784.8740882,0.0,2648190.38,81184.0,772.0,33.65392459,3430.2984197,0.0,9842555.76,104140.0,1597.0,103.70440884,6163.1532624,0.0,6187873.49,63936.0,1058,100.20844774,5848.6516919,0,-0.033710824,0.2103080932
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,0.0,0.0,0.0,0.0,0.0,0.0,228139.71,10920.0,96.0,20.891914835,2376.4553125,0.0,924509.55,36142.0,320.0,25.579922251,2889.0923438,0.0,98117.87,11902.0,108.0,8.2438136448,908.4987963,1.0,220673.48,17062.0,135,12.933623256,1634.6183704,1,0.5688883584,-0.147723226
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,566518.08,8940.0,80.0,63.368912752,7081.476,1.0,10209427.35,220795.0,1959.0,46.239395593,5211.5504594,0.0,4497955.75,151014.0,1346.0,29.785024898,3341.7204681,0.0,2169482.92,89923.0,908.0,31.799285589,2389.29837,1.0,6240189.33,110760.0,1594,65.412330389,3914.7988269,1,1.0570377346,0.0079659035
Abiraterone Acetate,Abiraterone Acetate,1,Glenmark Pharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2348323.1,87800.0,919,33.79136317,2555.3026115,0,0.0,0.0
Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60905.62,19938.0,185.0,3.0547507273,329.21956757,0.0,221788.03,85950.0,788.0,2.5804308319,281.45689086,0.0,2398069.97,121473.0,1218,26.059572461,1968.8587603,0,9.0989230709,1.9207592093
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,0.0,0.0,0.0,0.0,0.0,0.0,484774.02,19668.0,182.0,24.6478554,2663.5935165,0.0,8752700.36,334342.0,3063.0,26.178883778,2857.5580673,0.0,15916040.83,601251.0,5569.0,26.471541553,2857.9710594,0.0,11474550.15,621769.0,5898,18.454683572,1945.4984995,0,-0.302848172,-0.09195127
Abraxane,Paclitaxel Protein-Bound,1,Celgene/BMS,53535752.57,42257.875,25604.0,1266.8822692,2090.9136295,0.0,63708914.8,53968.936,30099.0,1180.473797,2116.645563,0.0,67150672.11,51570.958,31785.0,1302.1024762,2112.65289,0.0,67468402.38,56832.215,30936.0,1187.1506747,2180.9025853,0.0,33702537.94,38976.424,15444,864.69035589,2182.2415139,1,-0.271625435,-0.091068637
Absorica,Isotretinoin,1,Sun Pharmaceuti,8868026.2,271848.0,5258.0,32.568186765,1686.5778243,0.0,7626371.93,212926.0,4137.0,35.77773562,1843.4546604,0.0,8070077.2,225520.0,4248.0,35.732448193,1899.7356874,0.0,4132206.1,114158.0,2173.0,36.128068182,1901.6134837,0.0,1264772.61,34290.0,678,36.794275537,1865.4463274,0,0.0184401599,0.0309715219
Absorica Ld,"Isotretinoin, Micronized",1,Sun Pharmaceuti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987011.22,26100.0,566.0,37.796901346,1743.8360777,0.0,3042402.57,77940.0,1623.0,39.029183645,1874.5548799,0.0,3501353.38,84660.0,1688,41.323720901,2074.261481,0,0.0587902959,0.045614534
Acamprosate Calcium,Acamprosate Calcium,1,Ahp,2361.59,2853.0,35.0,0.8277567473,67.474,1.0,1842.59,2729.0,27.0,0.6751887138,68.244074074,1.0,15563.77,3431.0,58.0,4.536219761,268.34086207,1.0,50372.47,22076.0,230.0,2.281775231,219.01073913,1.0,10995.13,5736.0,102,1.9168636681,107.79539216,1,-0.159924412,0.233593647
Acamprosate Calcium,Acamprosate Calcium,1,Mylan,456874.48,622281.0,4250.0,0.7341932021,107.49987765,0.0,171906.63,229507.0,1507.0,0.7490256506,114.07208361,0.0,775886.69,1127519.0,7447.0,0.6881362443,104.18781926,0.0,951426.45,1324209.0,8957.0,0.7184866211,106.22155298,0.0,706766.67,1050870.0,7274,0.6725538554,97.163413528,0,-0.063929883,-0.021683954
Acamprosate Calcium,Acamprosate Calcium,1,Teva USA,64933.77,89831.0,689.0,0.7228436731,94.243497823,0.0,52367.01,66379.0,455.0,0.7889092936,115.09232967,0.0,23461.31,32931.0,221.0,0.7124384319,106.15977376,0.0,26731.12,39215.0,272.0,0.681655489,98.276176471,0.0,17759.67,28943.0,191,0.6136084718,92.982565445,0,-0.099826112,-0.040131498
Acamprosate Calcium,Acamprosate Calcium,1,Glenmark Pharma,2977715.07,3975331.0,27653.0,0.7490483358,107.68144758,0.0,3977194.12,5211055.0,36390.0,0.7632224415,109.29360044,0.0,5118983.17,7019021.0,48471.0,0.7293015892,105.60919251,0.0,6352227.27,8494246.0,57809.0,0.7478270902,109.88301597,0.0,5935147.31,8685903.0,58599,0.6833080349,101.2841057,0,-0.086275365,-0.022702763
Acamprosate Calcium,Acamprosate Calcium,1,Zydus Pharmaceu,1593049.56,2146944.0,14626.0,0.7420079704,108.91901819,0.0,2128273.2,2741339.0,18935.0,0.7763626461,112.39890151,0.0,2071042.57,2690422.0,18174.0,0.7697835395,113.95634258,0.0,2577686.06,3356214.0,22261.0,0.7680338798,115.7938125,0.0,3185785.47,4773708.0,31981,0.6673607749,99.614942309,0,-0.13107899,-0.026159064
Acanya,Clindamycin Phos/Benzoyl Perox,1,Bausch Health U,392760.62,41050.0,819.0,9.5678591961,479.56119658,0.0,135000.4,13650.0,272.0,9.8901391941,496.325,0.0,141051.08,14050.0,281.0,10.039222776,501.96113879,1.0,247894.99,24145.0,480.0,10.266928557,516.44789583,1.0,298874.75,28700.0,569,10.413754355,525.26318102,1,0.0143008494,0.0214053738
Acarbose,Acarbose,1,Roxane/West-War,72454.59,360850.0,4219.0,0.2009299209,17.17340365,0.0,410474.37,1379751.0,14963.0,0.2977259494,27.432625142,0.0,627381.87,2512559.5,25896.0,0.250278439,24.226979842,0.0,758852.28,2885319.0,28849.0,0.263446076,26.304283684,0.0,576019.68,2311803.0,21967,0.2497303552,26.222045796,0,-0.052062726,0.0558608338
Acarbose,Acarbose,1,Virtus Pharmace,752077.67,2562782.0,27382.0,0.2934401826,27.466133591,0.0,307262.34,1040013.0,10703.0,0.2955392282,28.708057554,0.0,261567.18,950773.0,8937.0,0.2741591587,29.267895267,0.0,226559.55,843425.0,7939.0,0.267577814,28.537542512,0.0,135831.54,526587.0,4986,0.2585703767,27.242587244,0,-0.03366287,-0.03113159
Acarbose,Acarbose,1,Strides Pharma,464149.35,1672475.0,18360.0,0.2778550416,25.280465686,0.0,797413.78,2732587.2,29244.0,0.2923190922,27.267602927,0.0,563369.42,2243726.5,23021.0,0.251636912,24.471978628,0.0,606265.86,2355729.18,22886.0,0.2585665119,26.490686883,0.0,725698.77,2810365.0,26238,0.259117479,27.658311228,0,0.0021308525,-0.017303052
Acarbose,Acarbose,1,Avet Pharmaceut,5398.19,21035.0,242.0,0.2557421389,22.306570248,1.0,2691.5,11136.0,140.0,0.2407085032,19.225,1.0,1575.58,6390.0,76.0,0.2501762126,20.731315789,1.0,5895.97,23569.0,244.0,0.2481719994,24.163811475,0.0,41477.63,163373.0,1771,0.2532021668,23.420457369,0,0.0202688758,-0.002492244
Accolate,Zafirlukast,1,Par Pharmaceuti,27566.37,8343.0,137.0,3.3044350623,201.21437956,0.0,21968.33,6365.0,96.0,3.4545412954,228.83677083,0.0,14911.63,4266.0,65.0,3.4977404146,229.40969231,1.0,9485.63,2564.0,44.0,3.6997913825,215.5825,1.0,8409.69,2594.0,37,3.2396365884,227.28891892,1,-0.124373173,-0.004938855
Accrufer,Ferric Maltol,1,Shield Therapeu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6373.54,780.0,15.0,8.1712051282,424.90266667,1.0,2221578.57,272135.0,4958,8.1635165267,448.07958249,0,-0.000940938,-0.000940938
Accutane,Isotretinoin,1,"Jg Pharma, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57397.88,13650.0,297.0,4.1719723215,193.25885522,1.0,770575.08,168550.0,3501,4.5702854676,220.10142245,0,0.0954735831,0.0954735831
Acebutolol HCl,Acebutolol HCl,1,Amneal Pharmace,62257.37,207675.0,3849.0,0.3005456822,16.174946739,0.0,145468.38,344338.5,6121.0,0.4240749282,23.765459892,0.0,230110.17,413005.4,6497.0,0.557842025,35.417911344,0.0,262692.42,446641.8,6222.0,0.588178985,42.219932498,0.0,246987.46,398345.0,5423,0.6220858486,45.544432971,0,0.0576471864,0.1994577565
Acebutolol HCl,Acebutolol HCl,1,Ani Pharmaceuti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14110.72,21530.0,260,0.6519516644,54.272,0,0.0,0.0
Acetadote,Acetylcysteine,1,Cumberland Phar,63354.47,14008.15,179.0,4.5226864361,353.93558659,1.0,53954.57,11142.267,160.0,4.8423332523,337.2160625,1.0,90397.84,10185.01,180.0,8.8755769508,502.21022222,1.0,108604.89,41429.195,220.0,2.6214578874,493.65859091,0.0,74480.01,15491.81,206,4.8077022633,361.5534466,1,0.8339803536,0.0153955867
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Xspire Pharma,180852.82,67321.0,883.0,2.6864250382,204.81633069,0.0,149993.32,54123.0,751.0,2.7713415738,199.72479361,0.0,122916.8,46736.0,595.0,2.6300239644,206.58285714,0.0,80108.1,32492.0,460.0,2.4654715007,174.14804348,1.0,32024.68,13230.0,189,2.4206107332,169.44275132,1,-0.018195614,-0.025711543
Acetaminophen ER,Acetaminophen,1,Geri-Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.81,982.0,13,0.1688492872,12.754615385,1,0.0,0.0
Acetaminophen*,Acetaminophen,1,Geri-Care,0.0,0.0,0.0,0.0,0.0,0.0,509.51,11325.0,106.0,0.0449898455,4.8066981132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.83,14027.0,145,0.0662377423,6.3988275862,1,0.0,0.1376194445
Acetaminophen*,Acetaminophen,1,Pharm Assoc Inc,1909.59,136.8,11.0,11.351834216,173.59909091,1.0,7301.73,186.119,13.0,30.754113881,561.67153846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.02,98.02,24.0,11.142899502,48.709166667,1.0,0.0,21.0,13,0.0,0.0,1,-1.0,0.0
Acetaminophen*,Acetaminophen,1,Sandoz/Premier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.53,3056.0,32.0,0.3381969895,32.2978125,1.0,152064.36,66093.35,909,2.3007512859,167.28752475,1,5.8029916206,5.8029916206
Acetaminophen*,Acetaminophen,1,Leucadia/Hikma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5476.22,1450.9,19.0,3.7743607416,288.22210526,1.0,1055875.23,1126042.6,3173.0,0.9376867536,332.76874567,0.0,1931004.12,983589.45,7956,1.9632216673,242.71042232,1,1.0936860415,-0.278787964
Acetaminophen*,Acetaminophen,1,"Plus Pharma,Inc",202.31,3731.0,31.0,0.0542240686,6.5261290323,1.0,621.56,9517.0,109.0,0.065310497,5.7023853211,1.0,437.76,6748.0,86.0,0.0648725548,5.0902325581,1.0,424.14,7539.0,80.0,0.0562594509,5.30175,1.0,377.91,5597.0,69,0.0675201001,5.4769565217,1,0.2001556899,0.0563558556
Acetaminophen*,Acetaminophen,1,Sandoz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39696.65,17033.0,176.0,2.3305730053,225.54914773,1.0,8046821.88,3414756.45,35067.0,2.3564848615,229.46992557,1.0,8431299.09,2929003.4,30482,2.8785555831,276.59927465,1,0.2215463932,0.1113630513
Acetaminophen*,Acetaminophen,1,Fresenius Kabi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35742.39,25775.0,83.0,1.3867076625,430.63120482,1.0,3686270.87,1281712.35,11177.0,2.8760516117,329.80861322,1.0,8562366.85,2343637.04,19105,3.6534526054,448.17413504,1,0.2703014753,0.6231523365
Acetaminophen*,Acetaminophen,1,Akron Pharma In,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.13,11038.0,94,0.0653897677,7.5439361702,1,0.0,0.0
Acetaminophen*,Acetaminophen,1,Mylan Instituti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318692.84,330596.3,3443.0,0.9639939709,92.562544293,0.0,263135.67,365430.6,3876,0.7200701583,67.888459752,0,-0.253034583,-0.253034583
Acetaminophen*,Acetaminophen,1,Rugby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,25.0,17.0,0.0148,0.0217647059,1.0,0.24,16.0,11,0.015,0.0218181818,1,0.0135135135,0.0135135135
Acetaminophen*,Acetaminophen,1,Baxter Healthca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441134.65,844398.824,8582,0.5224245196,51.402312981,0,0.0,0.0
Acetaminophen*,Acetaminophen,1,Auromedics-Eugi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,16.0,0.0,0.0,1.0,20261.14,6567.0,92.0,3.0852961779,220.22978261,1.0,1631722.33,911350.6,8356,1.7904441276,195.27553016,0,-0.419684846,0.0
Acetaminophen*,Acetaminophen,1,B.Braun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48519.55,159255.88,1569.0,0.3164987284,30.923868706,0.0,464154.27,883224.07,7829,0.5369857059,59.286533401,0,0.6966441183,0.6966441183
