Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Burel Pharmaceu,0,0,0,0,0,0,0,0,3423734.03,287300,7849,1608,11.91693014,436.2000293,2129.18783,0,2091576.23,174960,4163,1353,11.95459665,502.4204252,1545.880436,0,256577.42,29266,823,380,8.767081938,311.758712,675.2037368,0,17070.75,1470,39,20,11.6127551,437.7115385,853.5375,0,0.324586126,-0.008581638
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,5046603.12,442317,13695,2311,11.40947131,368.4996802,2183.731337,1,4039930.74,324606,9348,1597,12.44564407,432.1705969,2529.6999,0,2816938.69,248430,6793,1383,11.33896345,414.6825688,2036.832025,0,3129997.02,367529,8662,1603,8.516326657,361.3480744,1952.587037,1,4278385.44,321870,7134,1347,13.29227775,599.7176114,3176.232695,0,0.560799425,0.038923265
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,Lupin Pharmaceu,6955321.12,330735,5298,710,21.02989136,1312.820144,9796.22693,0,4849598.99,225020,3648,493,21.55185757,1329.385688,9836.914787,0,2085404.63,96333,1585,290,21.64787383,1315.7127,7191.050448,0,146795.2,7002,118,32,20.96475293,1244.027119,4587.35,0,68772.61,3150,59,15,21.8325746,1165.637458,4584.840667,0,0.041394319,0.009408554
Abelcet,Amphotericin B Lipid Complex,1,Leadiant Biosci,766166.41,101857.38,620,205,7.521952852,1235.752274,3737.397122,0,618247.3,120570,777,226,5.127704238,795.6850708,2735.607522,0,637913.66,124320,826,238,5.131223134,772.2925666,2680.309496,0,504545.33,97200,697,199,5.190795576,723.8813917,2535.403668,0,297179.43,53540,350,113,5.550605715,849.0840857,2629.90646,0,0.069316954,-0.073164963
Abilify,Aripiprazole,1,Otsuka America,31071646.36,950552.33,25660,4690,32.84330958,1210.898143,6625.084512,0,26854630.75,808281.5,20939,3670,33.40220819,1282.517348,7317.338079,0,24481910.61,716447.5,17689,2532,34.43652749,1384.018916,9669.001031,0,20484851.18,633899,15261,2174,32.65616444,1342.300713,9422.654637,0,13141218.3,575817,13586,1920,23.10964437,967.2617621,6844.384531,0,-0.292334395,-0.084124193
Abilify Maintena,Aripiprazole,1,Otsuka America,345893454.1,165452.467,164759,22935,2090.804126,2099.390346,15081.46737,0,422038582.3,189937.35,189140,25421,2222.069637,2231.355516,16601.96618,0,460313112,204264.771,203218,25646,2253.594888,2265.119783,17948.72932,0,499429110.9,210840.18,208784,26393,2368.508428,2392.085174,18922.78676,0,563682902.8,220767.4,219843,27676,2553.342516,2564.024794,20367.20996,0,0.07803818,0.05123287
Abilify Mycite,Aripiprazole,1,Otsuka America,0,0,0,0,0,0,0,0,40552.86,720,24,0,56.32341667,1689.7025,0,1,92372.21,1620,47,15,56.90881206,1965.36617,6158.147333,1,56308.8,990,31,0,56.77817204,1816.412903,0,1,75603.15,1320,44,0,57.27511364,1718.253409,0,1,0.008752335,0.005600906
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,10934145.94,171807,1420,1334,63.64202821,7700.102775,8196.511199,0,114778256.6,2218449,19000,6121,51.73806413,6040.960875,18751.55312,0,71640280.53,1992035,17507,4741,35.96336436,4092.093479,15110.7953,0,43828187.66,1497395,13837,3612,31.63293566,3167.463154,12134.04974,0,53537526.58,1295976,13337,3548,51.48784095,4014.210586,15089.49453,0,0.627665592,-0.051603009
Abiraterone Acetate,Abiraterone Acetate,1,Glenmark Pharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582002.55,26368,236,185,22.07230545,2466.1125,3145.95973,0,36913029,1225947,11507,3591,33.85829047,3207.875989,10279.31746,0,0.533971635,0.533971635
Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626395.12,20008,159,104,31.30723311,3939.59195,6023.03,0,1840647.11,59117,545,239,31.13566504,3377.334147,7701.452343,0,16295701.94,561374,4989,1648,29.02824488,3266.326306,9888.168653,0,-0.067685086,-0.037084793
Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669762.06,13840,140,68,60.84302094,4784.014714,9849.442059,0,0,0
Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945649.24,293706,2534,1003,3.219713727,373.1843883,942.8207777,0,4898138.39,1457548,12936,2784,3.360533163,378.6439695,1759.38879,0,120810345,3321888,33500,7306,44.18468523,3606.278955,16535.77128,0,12.1481176,2.704479989
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,0,0,0,0,0,0,0,0,8538883.37,196154,1712,819,43.53152814,4987.66552,10425.98702,0,15147557.6,500973,4492,1573,30.23627541,3372.118789,9629.725111,0,9167613.92,373812,3463,1352,24.52466459,2647.304049,6780.779527,0,9032292.89,330584,3031,1190,27.32223244,2979.97126,7590.162092,0,0.114071605,-0.143808807
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,1127427.3,29604,255,249,38.0836137,4421.283529,4527.820482,1,15366088.51,871312,7643,1731,17.63557544,2010.478675,8877.000872,0,3903999.61,1489945,13174,2053,2.620230686,296.3412487,1901.607214,0,3089709.84,1951977,17105,2635,1.582861806,180.6319696,1172.565404,0,3501028.36,2621003,21807,3390,1.335759005,160.5460797,1032.751729,0,-0.156111418,-0.567239624
Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445297.27,17602,149,149,25.29810647,2988.572282,2988.572282,0,33110769.99,1386645,12105,2589,23.87833223,2735.296984,12789.01892,0,40450561.47,1415352,12829,3104,31.05903196,3153.056471,13031.75305,0,0.300720321,0.108025996
Abiraterone Acetate,Abiraterone Acetate,1,Patriot Pharmac,8067619.77,125781,1054,974,64.14021013,7654.288207,8282.977177,0,231496652.4,5053365.999,43147,10563,45.81038706,5365.301235,21915.80539,0,98574761.07,2983608.997,26288,6842,33.03876653,3749.80071,14407.30212,0,3649785.15,124313,1094,348,29.35964179,3336.183867,10487.88836,0,252071.28,10440,82,40,24.14475862,3074.04,6301.782,0,-0.177620804,-0.216709025
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,0,0,0,0,0,0,0,0,20635781.2,564258,4957,2138,36.57153501,4162.957676,9651.908887,0,182376285.6,6169405,54225,12624,29.56140593,3363.324769,14446.79068,0,233618611.2,9414775,84087,15670,24.81404082,2778.296421,14908.65419,0,216361472.7,9218859,82563,16102,23.46944158,2620.562149,13436.93161,0,-0.054187033,-0.137445546
Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33547.73,20150,165,152,1.664899752,203.3195758,220.70875,0,0,0
Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13756.51,7560,67,34,1.81964418,205.3210448,404.6032353,0,0,0
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,4650291.61,80017,653,599,58.11629541,7121.426662,7763.425058,0,89624661.26,1938999,16412,4018,46.22212867,5460.922573,22305.78926,0,46509342.26,1227017,10676,2876,38.1716888,4356.438953,16171.53764,0,105057491.9,1174828,15673,4349,103.3830901,6703.087596,24156.70083,0,64626491.04,663377,10295,2908,102.8391372,6277.463918,22223.69018,0,-0.005261527,0.153360637
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,0,0,0,0,0,0,0,0,20386448.34,439622,3774,1234,46.37267548,5401.814611,16520.62264,0,24080851.95,967757,8438,2263,24.88315967,2853.85778,10641.11885,0,98437342.1,1807128,20654,4355,72.58365181,4766.018306,22603.29325,0,93297676.03,1882144,21766,5237,65.37935763,4286.395113,17815.09949,0,-0.099255053,0.121311214
Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8944728.38,326848,2779,839,27.3666303,3218.685995,10661.17805,0,26482869.57,983706,8539,1827,26.92152896,3101.401753,14495.27617,0,-0.016264382,-0.016264382
Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4632.8,556,11,0,8.332374101,421.1636364,0,1,19197.61,4259,67,38,4.507539329,286.5314925,505.2002632,0,48852.49,11121,150,62,4.392814495,325.6832667,787.9433871,0,-0.025451765,-0.273915691
Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52080902.12,1508851,13222,3140,34.51692852,3938.957958,16586.27456,0,54513705.91,1624314,14601,3533,33.56106388,3733.55975,15429.86298,0,19109349.32,579171,5186,2034,32.99431311,3684.795472,9394.960334,0,-0.016887151,-0.02230482
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,1843951.75,27914,242,214,66.05831303,7619.635331,8616.596963,0,11777466.4,236279,2016,679,49.84559102,5841.997222,17345.31134,0,3613882.86,96508,862,325,37.44645895,4192.439513,11119.63957,0,396597.29,11915,103,25,33.28554679,3850.459126,15863.8916,0,413746,13932,128,35,29.69753086,3232.390625,11821.31429,0,-0.107795012,-0.181161572
Abraxane,Paclitaxel Protein-Bound,1,Celgene/BMS,5675297.99,4441,828,236,1277.932445,6854.224626,24047.87284,0,8803136.55,6318,1190,333,1393.342284,7397.59374,26435.8455,0,9792937.31,6620,1286,319,1479.295666,7615.036789,30698.86304,0,9534884.71,6081,1200,307,1567.979725,7945.737258,31058.25638,0,6230057.81,3744,810,220,1664.011167,7691.429395,28318.44459,0,0.061245334,0.068223395
Absorica,Isotretinoin,1,Sun Pharmaceuti,317230.79,8970,180,78,35.32328921,1762.393278,4067.06141,0,256597.51,6840,150,47,37.43501933,1710.650067,5459.521489,0,235353.71,6180,126,52,37.94486914,1867.886587,4526.032885,0,163699.34,4090,88,35,39.69015466,1860.219773,4677.124,0,93008.56,2250,51,24,41.15128458,1823.697255,3875.356667,0,0.03681341,0.038916311
Absorica Ld,"Isotretinoin, Micronized",1,Sun Pharmaceuti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25585.7,690,15,0,37.42603165,1705.713333,0,1,81264.22,2130,31,11,38.27806774,2621.426452,7387.656364,1,24902.87,630,15,0,39.48683704,1660.191333,0,1,0.031578639,0.027162802
Acamprosate Calcium,Acamprosate Calcium,1,Glenmark Pharma,3043129.45,3171030,19572,6477,0.959665929,155.4838264,469.8362591,0,3741077.17,3796463,22641,7645,0.985411203,165.2346261,489.3495317,0,3920114.18,4086170,23940,7724,0.9593615,163.7474595,507.5238452,0,4262923.33,4353044,25692,8566,0.979297092,165.9241527,497.6562375,0,4337637.12,4366269,25208,8612,0.993442484,172.0738305,503.6736089,0,0.014444434,0.008685233
Acamprosate Calcium,Acamprosate Calcium,1,Marlex Pharm.,5338.07,4643,35,24,1.149702778,152.5162857,222.4195833,0,6121.51,6614,48,27,0.925538252,127.5314583,226.7225926,0,4808.02,4686,28,23,1.026039266,171.715,209.0443478,1,9231.61,8475,58,44,1.089275516,159.1656897,209.8093182,0,2979.37,3694,27,11,0.806543043,110.347037,270.8518182,1,-0.259560111,-0.084811631
Acamprosate Calcium,Acamprosate Calcium,1,Mylan,523392.12,573142,3774,1612,0.913197986,138.6836566,324.684938,0,150985.65,169386,1106,582,0.891370302,136.5150543,259.4255155,0,787116.88,906051,5686,2022,0.868733526,138.4306859,389.2763996,0,812965.38,935701,5812,2239,0.868830299,139.8770441,363.0930683,0,685171.27,789777,5031,1824,0.867550296,136.1898768,375.6421436,0,-0.001473249,-0.012737982
Acamprosate Calcium,Acamprosate Calcium,1,AHP,3358.03,2860,27,17,1.174136364,124.3714815,197.5311765,1,2461.5,2537,28,14,0.970240442,87.91071429,175.8214286,1,3366.34,3121,30,22,1.07860942,112.2113333,153.0154546,0,6457.22,6032,53,33,1.070494032,121.8343396,195.6733333,0,3790.62,3960,28,20,0.957227273,135.3792857,189.531,1,-0.105807931,-0.049780078
Acamprosate Calcium,Acamprosate Calcium,1,Zydus Pharmaceu,1592019.25,1673011,10463,4051,0.95158923,152.1570534,392.9941373,0,2161886.42,2064910,12820,4598,1.046963994,168.6338861,470.1797347,0,1727652.52,1638918,10153,3824,1.054142135,170.1617768,451.791977,0,1924716.56,1918245,11538,4330,1.003373688,166.8154412,444.5072887,0,2379337.1,2411786,14651,5635,0.986545697,162.4010033,422.2426087,0,-0.01677141,0.009059841
Acamprosate Calcium,Acamprosate Calcium,1,Teva USA,105642.26,111579,757,410,0.946793393,139.5538441,257.6640488,0,71329.76,74028,481,246,0.963551089,148.2947193,289.958374,0,32870.94,32444,204,96,1.01315929,161.1320588,342.405625,0,29702.64,31722,196,72,0.936341971,151.5440816,412.5366667,0,26124.07,28643,228,56,0.912057745,114.5792544,466.50125,0,-0.02593521,-0.009300875
Acanya,Clindamycin Phos/Benzoyl Perox,1,Bausch Health U,146741.77,13850,254,143,10.59507365,577.7235039,1026.166224,0,60935.72,5750,107,56,10.59751652,569.4927103,1088.137857,0,33711.89,3150,60,15,10.7021873,561.8648333,2247.459333,0,15964.61,1450,29,0,11.01007586,550.5037931,0,1,9928.83,900,18,0,11.03203333,551.6016667,0,1,0.001994307,0.010154718
Acarbose,Acarbose,1,Roxane/West-War,307877.52,897667,8449,2191,0.341850376,36.43952184,140.5191785,0,2166182.96,6379462,41178,13130,0.339458844,52.60534654,164.9796618,0,4384018.53,11404856.49,72172,21039,0.384915481,60.7440355,208.3758035,0,4669434.02,12129566.5,75533,20671,0.385059321,61.81978764,225.8929912,0,3917330.86,10672720.5,63027,18167,0.366785621,62.15321783,215.6289349,0,-0.047456844,0.017756911
Acarbose,Acarbose,1,Virtus Pharmace,5005722.25,14225421.5,94608,27176,0.350764166,52.91013709,184.1964325,0,2387051.97,6757172.5,42018,15316,0.352588006,56.81022348,155.8534846,0,2526822.01,6822731,39224,14146,0.36942969,64.42030415,178.6244882,0,2185093.64,6226653.5,34473,11298,0.350337741,63.3856537,193.4053496,0,1310644.33,4589886.5,24510,9545,0.286139469,53.47386087,137.3121352,0,-0.183246805,-0.049634556
Acarbose,Acarbose,1,Strides Pharma,2436933.51,6912154.5,53553,16385,0.353783933,45.50507927,148.7295398,0,4201059.18,12321669.5,90053,23637,0.341616837,46.6509631,177.7323341,0,3798277.52,10349363.5,73353,22003,0.368036713,51.78080678,172.6254384,0,3835408.06,10505598.5,69403,19761,0.365541568,55.26285694,194.0897758,0,4612615.79,12469754.5,81131,22970,0.370196783,56.85392501,200.8104393,0,0.01273512,0.011401594
Acarbose,Acarbose,1,Avet Pharmaceut,31585.49,86983,789,208,0.367255325,40.03230672,151.8533173,0,27769.95,75627,728,182,0.367888302,38.14553571,152.5821429,0,13748.64,34289,336,105,0.402887872,40.91857143,130.9394286,0,38703.5,105933,829,571,0.36520499,46.68697226,67.78196147,0,257448.84,702025.5,5639,1826,0.364665638,45.65505231,140.9906024,0,-0.001476847,-0.001767546
Accolate,Zafirlukast,1,Par Pharmaceuti,335122.21,89645,951,166,3.738054399,352.389285,2018.808494,0,267173.42,70926,731,141,3.766543184,365.4903146,1894.84695,0,241732.21,64927,635,121,3.723138448,380.6806457,1997.78686,0,217404.57,57295,521,103,3.794640321,417.2832438,2110.723981,0,149766.1,40235,358,91,3.723864712,418.3410615,1645.781319,0,-0.018651467,-0.000950356
Accupril,Quinapril HCl,1,Pfizer US Pharm,2823256.85,609380,7383,1640,4.633250924,382.3996817,1721.498079,0,2657878.87,575596,6757,1518,4.617106115,393.3519121,1750.908347,0,2298518.54,500787,5639,1311,4.590090815,407.6110197,1753.255942,0,1802400.49,386511,4302,1045,4.665906587,418.9680358,1724.785158,0,320682.07,67553,819,500,4.755617946,391.553199,641.36414,0,0.019226994,0.006538252
Accuretic,Quinapril/Hydrochlorothiazide,1,Pfizer US Pharm,354071.71,80439,932,229,4.402074636,379.9052682,1546.164673,0,311595.63,70847,776,211,4.397698703,401.5407603,1476.75654,0,256406.1,59908,643,169,4.282600166,398.7653188,1517.195858,0,162706.28,37158,389,119,4.375711255,418.268072,1367.279664,0,15221.02,3690,43,36,4.155856033,353.9772093,422.8061111,1,-0.050244454,-0.014286344
Accutane,Isotretinoin,1,"Jg Pharma, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21588.69,6010,127,59,3.561441007,169.989685,365.91,0,52272.27,14470,309,121,3.612391402,169.1659223,432.0022314,0,0.014306118,0.014306118
Acebutolol HCl,Acebutolol HCl,1,Marlex Pharm.,913.47,2760,34,16,0.342430099,26.86676471,57.091875,1,2669.35,6658,93,60,0.411786034,28.70268817,44.48916667,0,1765.9,2850,40,22,0.615680556,44.1475,80.26818182,1,5732.34,9816,92,63,0.604937755,62.30804348,90.98952381,0,6163.19,8910,100,51,0.692053096,61.6319,120.8468628,0,0.144007115,0.19231737
Acebutolol HCl,Acebutolol HCl,1,Ani Pharmaceuti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388628.46,654222,5277,4420,0.59577702,73.64571916,87.92499095,0,0,0
Acebutolol HCl,Acebutolol HCl,1,Amneal Pharmace,2080537.14,6049825,63325,15697,0.344483899,32.85490944,132.543616,0,4383488.55,9364612,91019,20749,0.468483132,48.16014843,211.2626416,0,5554361.14,9724712,89977,20393,0.571902069,61.73089945,272.3660639,0,5102920.97,9585398,86021,20105,0.533641489,59.32180479,253.8135275,0,4772001.12,8424616,75566,19050,0.567862239,63.15010878,250.4987465,0,0.064126854,0.133100721
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Xspire Pharma,507947.64,203714,2277,1070,2.49343511,223.0775758,474.7174206,0,581219.08,221226,2783,1205,2.627263884,208.8462379,482.3394855,0,562256.15,203536,2547,950,2.762440797,220.7523165,591.848579,0,554132.58,196648,2524,797,2.817890749,219.5453962,695.2729988,0,327966.86,117696,1581,416,2.786559101,207.4426692,788.381875,0,-0.01111883,0.028176201
Acetaminophen,Acetaminophen,1,B.Braun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3561.32,27901,18,0,0.127641303,197.8511111,0,1,1679.14,20100,21,14,0.083539304,79.95904762,119.9385714,1,-0.345515116,-0.345515116
Acetaminophen,Acetaminophen,1,Leucadia/Hikma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10881.76,32000,79,59,0.340055,137.7437975,184.4366102,0,10468.59,34900,48,41,0.299959599,218.095625,255.3314634,0,-0.117908577,-0.117908577
Acetaminophen,Acetaminophen,1,Sandoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21433.56,78800,23,17,0.271999492,931.893913,1260.797647,1,47779.92,175800,69,24,0.271785666,692.4626087,1990.83,0,-0.00078613,-0.00078613
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Aurobindo Pharm,7076700.58,31965612,570830,296106,0.214909934,12.3972121,23.89921373,0,8184569.66,33710175,657547,308411,0.229651328,12.44712494,26.53786558,0,9482246.84,32047733,625824,281716,0.278954581,15.15161905,33.6588864,0,10973409.63,30757419.25,619101,290988,0.329206209,17.72474868,37.71086653,0,4427047.76,12611558.25,280493,166817,0.325945384,15.78309534,26.53834897,0,-0.009905113,0.109742161
Acetaminophen-Codeine,Acetaminophen With Codeine,1,Eywa Pharma Inc,0,0,0,0,0,0,0,0,19972.21,101487,1664,1315,0.18954523,12.00253005,15.1879924,0,1246576.17,6488988,117585,53545,0.184019362,10.60148973,23.28090709,0,1968597.94,10189757.29,204560,93658,0.18351307,9.623572253,21.01900468,0,3949328.55,20948910.5,440121,224877,0.178147721,8.973279053,17.56217199,0,-0.029236874,-0.020459334
