Brnd_Name,Gnrc_Name
Aranelle,Norethindrone-Ethin. Estradiol
Aranesp,Darbepoetin Alfa In Polysorbat
Arava,Leflunomide
Arazlo,Tazarotene
Arcalyst,Rilonacept
Arestin,Minocycline HCl Microspheres
Arformoterol Tartrate,Arformoterol Tartrate
Aricept,Donepezil HCl
Arikayce,Amikacin Liposomal/Neb.Accessr
Arimidex,Anastrozole
Aripiprazole,Aripiprazole
Aripiprazole ODT,Aripiprazole
Aristada,Aripiprazole Lauroxil
Aristada Initio,"Aripiprazole Lauroxil,Submicr."
Arixtra,Fondaparinux Sodium
Armodafinil,Armodafinil
Armonair Digihaler,Fluticasone Propionate
Armour Thyroid,"Thyroid,Pork"
Arnuity Ellipta,Fluticasone Furoate
Aromasin,Exemestane
Arthrotec 50,Diclofenac Sodium/Misoprostol
Arthrotec 75,Diclofenac Sodium/Misoprostol
Asa-Butalb-Caffeine-Codeine,Codeine/Butalbital/Asa/Caffein
Asacol Hd,Mesalamine
Asceniv,"Immune Globulin,Gamma(IgG)slra"
Ascomp With Codeine,Codeine/Butalbital/Asa/Caffein
Asenapine Maleate,Asenapine Maleate
Ashlyna,L-Norgest/E.Estradiol-E.Estrad
Asmanex,Mometasone Furoate
Asmanex HFA,Mometasone Furoate
Aspirin-Dipyridamole ER,Aspirin/Dipyridamole
Aspruzyo Sprinkle,Ranolazine
Assure Id Insulin Safety,"Syringe,Needle,Insuln,Safe,1ml"
Assure Id Pen Needle,"Pen Needle, Diabetic, Safety"
Astagraf XL,Tacrolimus
Atacand,Candesartan Cilexetil
Atacand HCT,Candesartan/Hydrochlorothiazid
Atazanavir Sulfate,Atazanavir Sulfate
Atelvia,Risedronate Sodium
Atenolol,Atenolol
Atenolol-Chlorthalidone,Atenolol/Chlorthalidone
Ativan*,Lorazepam
Atomoxetine HCl,Atomoxetine HCl
Atorvastatin Calcium,Atorvastatin Calcium
Atovaquone,Atovaquone
Atovaquone-Proguanil HCl,Atovaquone/Proguanil HCl
Atralin,Tretinoin
Atripla,Efavirenz/Emtricit/Tenofovr Df
Atropine Sulfate*,Atropine Sulfate
Atrovent HFA,Ipratropium Bromide
Aubagio,Teriflunomide
Aubra Eq,Levonorgestrel/Ethin.Estradiol
Aurovela,Norethindrone Ac-Eth Estradiol
Aurovela 24 Fe,Norethindrone-E.Estradiol-Iron
Aurovela Fe,Norethindrone-E.Estradiol-Iron
Auryxia,Ferric Citrate
Austedo,Deutetrabenazine
Autoshield Duo Pen Needle,"Pen Needle,Dual Safety,Diabetc"
Autoshield Pen Needle,"Pen Needle, Diabetic, Safety"
Auvelity,Dextromethorphan HBr/Bupropion
Auvi-Q,Epinephrine
Avalide,Irbesartan/Hydrochlorothiazide
Avapro,Irbesartan
Avastin,Bevacizumab
Aveed,Testosterone Undecanoate
Aviane,Levonorgestrel/Ethin.Estradiol
Avita,Tretinoin
Avodart,Dutasteride
Avonex,Interferon Beta-1a
Avonex Pen,Interferon Beta-1a
Avsola,Infliximab-Axxq
Avycaz,Ceftazidime/Avibactam
Aygestin,Norethindrone Acetate
Ayvakit,Avapritinib
Azacitidine,Azacitidine
Azactam,Aztreonam
Azasan,Azathioprine
Azasite,Azithromycin
Azathioprine,Azathioprine
Azelaic Acid,Azelaic Acid
Azelastine HCl*,Azelastine HCl
Azelastine-Fluticasone,Azelastine/Fluticasone
Azelex,Azelaic Acid
Azesco,Prenatal 147/Iron/Folic Acid
Azilect,Rasagiline Mesylate
Azithromycin*,Azithromycin
Azopt,Brinzolamide
Azor,Amlodipine Bes/Olmesartan Med
Azstarys,Serdexmethylphen/Dexmethylphen
Aztreonam,Aztreonam
Azulfidine,Sulfasalazine
Azurette,Desog-E.Estradiol/E.Estradiol
B-D Single Use Alcohol Swab,Alcohol Antiseptic Pads
BCG (Tice Strain),BCG Live
Bacitracin*,Bacitracin
Bacitracin-Polymyxin,Bacitracin/Polymyxin B Sulfate
Baclofen*,Baclofen
Bactrim Ds,Sulfamethoxazole/Trimethoprim
Bafiertam,Monomethyl Fumarate
Balcoltra,Levonorgest/Eth.Estradiol/Iron
Balsalazide Disodium,Balsalazide Disodium
Balversa,Erdafitinib
Balziva,Norethindrone-Ethin. Estradiol
Band-Aid Gauze Pads,Gauze Bandage
Banzel,Rufinamide
Baqsimi,Glucagon
Baraclude,Entecavir
Basaglar Kwikpen U-100,"Insulin Glargine,Hum.Rec.Anlog"
Bavencio,Avelumab
Baxdela*,Delafloxacin Meglumine
Bd Insulin Syringe,"Syringe And Needle,Insulin,1ml"
Bd Insulin Syringe Micro-Fine,"Syringe-Needle,Insulin,0.5 Ml"
Bd Insulin Syringe Ult-Fine II,"Syring-Needl,Disp,Insul,0.3 Ml"
Bd Insulin Syringe Ultra-Fine,"Syring-Needl,Disp,Insul,0.3 Ml"
Beconase Aq,Beclomethasone Dipropionate
Belbuca,Buprenorphine HCl
Belladonna-Opium,Opium/Belladonna Alkaloids
Belsomra,Suvorexant
Benazepril HCl,Benazepril HCl
Benazepril-Hydrochlorothiazide,Benazepril/Hydrochlorothiazide
Bendeka,Bendamustine HCl
Benicar,Olmesartan Medoxomil
Benicar HCT,Olmesartan/Hydrochlorothiazide
Benlysta*,Belimumab
Bensal HP,Salicylic Acid
Bentyl*,Dicyclomine HCl
Benzamycin,Erythromycin/Benzoyl Peroxide
Benzonatate,Benzonatate
Benztropine Mesylate*,Benztropine Mesylate
Beovu,Brolucizumab-Dbll
Bepotastine Besilate,Bepotastine Besilate
Bepreve,Bepotastine Besilate
Berinert,C1 Esterase Inhibitor
Besivance,Besifloxacin HCl
Besremi,Ropeginterferon Alfa-2b-Njft
Betadine,Povidone-Iodine
Betaine Anhydrous,Betaine
Betamethasone Diprop Augmented,Betamethasone Dipropionate
Betamethasone Dipropionate,Betamethasone Dipropionate
Betamethasone Sod Phos-Acetate,"Betamethasone Acetate,Sod Phos"
Betamethasone Valerate,Betamethasone Valerate
Betapace,Sotalol HCl
Betapace Af,Sotalol HCl
Betaseron,Interferon Beta-1b
Betaxolol HCl*,Betaxolol HCl
Bethanechol Chloride,Bethanechol Chloride
Bethkis,Tobramycin
Betimol,Timolol
Betoptic S,Betaxolol HCl
Bevespi Aerosphere,Glycopyrrolate/Formoterol Fum
Bexarotene*,Bexarotene
Bexsero,"Meningococcal B Vaccine,4-Comp"
Beyaz,Drospir/Eth Estra/Levomefol Ca
Bicalutamide,Bicalutamide
Bicillin C-R,Pen G Benz/Pen G Procaine
Bicillin L-A,Penicillin G Benzathine
Bidil,Isosorbide Dinit/Hydralazine
Bijuva,Estradiol/Progesterone
Biktarvy,Bictegrav/Emtricit/Tenofov Ala
Bimatoprost*,Bimatoprost
Binosto,Alendronate Sodium
Bisoprolol Fumarate,Bisoprolol Fumarate
Bisoprolol-Hydrochlorothiazide,Bisoprolol/Hydrochlorothiazide
Bivigam,Immun Glob G(IgG)/Gly/IgA Ov50
Blenrep,Belantamab Mafodotin-Blmf
Bleomycin Sulfate,Bleomycin Sulfate
Blephamide,Sulfacetamide/Prednisolone
Blincyto,Blinatumomab
Blisovi 24 Fe,Norethindrone-E.Estradiol-Iron
Blisovi Fe,Norethindrone-E.Estradiol-Iron
Boniva*,Ibandronate Sodium
Bonjesta,Doxylamine Succinate/Vit B6
Boostrix Tdap,"Diphth,Pertuss(Acell),Tet Vac"
Bortezomib*,Bortezomib
Bosentan,Bosentan
Bosulif,Bosutinib
Botox,Onabotulinumtoxina
Braftovi,Encorafenib
Breo Ellipta,Fluticasone/Vilanterol
Breztri Aerosphere,Budesonide/Glycopyr/Formoterol
Briellyn,Norethindrone-Ethin. Estradiol
Brilinta,Ticagrelor
Brimonidine Tartrate,Brimonidine Tartrate
Brimonidine Tartrate-Timolol,Brimonidine Tartrate/Timolol
Brinzolamide,Brinzolamide
Brisdelle,Paroxetine Mesylate
Briviact*,Brivaracetam
Bromfenac Sodium,Bromfenac Sodium
Bromocriptine Mesylate,Bromocriptine Mesylate
Brompheniramine-Pseudoephed-DM,Brompheniramine/Pseudoephed/DM
Bromsite,Bromfenac Sodium
Bronchitol,Mannitol
Brovana,Arformoterol Tartrate
Brukinsa,Zanubrutinib
Bryhali,Halobetasol Propionate
Bss,Balanced Salt Irrig Soln No.2
Budesonide Dr,Budesonide
Budesonide EC,Budesonide
Budesonide ER,Budesonide
Budesonide*,Budesonide
Budesonide-Formoterol Fumarate,Budesonide/Formoterol Fumarate
Bumetanide*,Bumetanide
Buphenyl,Sodium Phenylbutyrate
Bupivacaine HCl,Bupivacaine HCl
Buprenex,Buprenorphine HCl
Buprenorphine,Buprenorphine
Buprenorphine HCl*,Buprenorphine HCl
Buprenorphine-Naloxone,Buprenorphine HCl/Naloxone HCl
Bupropion HCl,Bupropion HCl
Bupropion HCl SR,Bupropion HCl
Bupropion XL,Bupropion HCl
Buspirone HCl,Buspirone HCl
Butalb-Acetaminoph-Caff-Codein,Butalbit/Acetamin/Caff/Codeine
Butalbital Compound-Codeine,Codeine/Butalbital/Asa/Caffein
Butalbital-Acetaminophen,Butalbital/Acetaminophen
Butalbital-Acetaminophen-Caffe,Butalb/Acetaminophen/Caffeine
Butalbital-Aspirin-Caffeine,Butalbital/Aspirin/Caffeine
Butorphanol Tartrate*,Butorphanol Tartrate
Butrans,Buprenorphine
Bydureon Bcise,Exenatide Microspheres
Bydureon Pen,Exenatide Microspheres
Byetta,Exenatide
Bylvay,Odevixibat
Bystolic,Nebivolol HCl
C-Nate DHA,PNV 11/Iron Fum/Folic Acid/Om3
Cabenuva,Cabotegravir/Rilpivirine
Cabergoline,Cabergoline
Cablivi,Caplacizumab-Yhdp
Cabometyx,Cabozantinib S-Malate
Caduet,Amlodipine/Atorvastatin
Calan SR,Verapamil HCl
Calcipotriene,Calcipotriene
Calcipotriene-Betamethasone,Calcipotriene/Betamethasone
Calcipotriene-Betamethasone Dp,Calcipotriene/Betamethasone
Calcitonin-Salmon*,"Calcitonin,Salmon,Synthetic"
Calcitriol*,Calcitriol
Calcium Acetate,Calcium Acetate
Calcium Chloride,Calcium Chloride
Calcium Gluconate,Calcium Gluconate
Calquence,Acalabrutinib
Cambia,Diclofenac Potassium
Camila,Norethindrone
Camrese,L-Norgest/E.Estradiol-E.Estrad
Camrese Lo,L-Norgest/E.Estradiol-E.Estrad
Camzyos,Mavacamten
Canasa,Mesalamine
Cancidas,Caspofungin Acetate
Candesartan Cilexetil,Candesartan Cilexetil
Candesartan-Hydrochlorothiazid,Candesartan/Hydrochlorothiazid
Capecitabine,Capecitabine
Capex Shampoo,Fluocinolone Acetonide
Caplyta,Lumateperone Tosylate
Caprelsa,Vandetanib
Captopril,Captopril
Carac,Fluorouracil
Carafate,Sucralfate
Carbaglu,Carglumic Acid
Carbamazepine,Carbamazepine
Carbamazepine ER,Carbamazepine
Carbatrol,Carbamazepine
Carbidopa,Carbidopa
Carbidopa-Levodopa,Carbidopa/Levodopa
Carbidopa-Levodopa ER,Carbidopa/Levodopa
Carbidopa-Levodopa-Entacapone,Carbidopa/Levodopa/Entacapone
Carbinoxamine Maleate,Carbinoxamine Maleate
Carboplatin,Carboplatin
Cardizem,Diltiazem HCl
Cardizem CD,Diltiazem HCl
Cardizem La,Diltiazem HCl
Cardura,Doxazosin Mesylate
Cardura XL,Doxazosin Mesylate
Carefine Pen Needle,"Pen Needle, Diabetic"
Caretouch Alcohol Prep Pad,Alcohol Antiseptic Pads
Caretouch Pen Needle,"Pen Needle, Diabetic"
Carisoprodol,Carisoprodol
Carnitor,Levocarnitine (With Sugar)
Carnitor SF,Levocarnitine
Carnitor*,Levocarnitine
Carospir,Spironolactone
Carteolol HCl,Carteolol HCl
Cartia Xt,Diltiazem HCl
Carvedilol,Carvedilol
Carvedilol ER,Carvedilol Phosphate
Casodex,Bicalutamide
Caspofungin Acetate,Caspofungin Acetate
Catapres-Tts 1,Clonidine
Catapres-Tts 2,Clonidine
Catapres-Tts 3,Clonidine
Caverject,Alprostadil
Cayston,Aztreonam Lysine
Cefaclor,Cefaclor
Cefaclor ER,Cefaclor
Cefadroxil,Cefadroxil
Cefazolin Sodium*,Cefazolin Sodium
Cefazolin Sodium-Dextrose,"Cefazolin Sodium/Dextrose,Iso"
Cefdinir,Cefdinir
Cefepime,Cefepime In Iso-Osm Dextrose
Cefepime HCl*,Cefepime HCl
Cefepime-Dextrose,Cefepime HCl In Dextrose 5 %
Cefixime,Cefixime
Cefotetan,Cefotetan Disodium
Cefoxitin,Cefoxitin Sodium
Cefoxitin Sodium,"Cefoxitin Sodium/Dextrose,Iso"
Cefpodoxime Proxetil,Cefpodoxime Proxetil
Cefprozil,Cefprozil
Ceftazidime,Ceftazidime
Ceftriaxone,Ceftriaxone In Is-Osm Dextrose
Ceftriaxone*,Ceftriaxone Sodium
Cefuroxime,Cefuroxime Axetil
Cefuroxime Sodium*,Cefuroxime Sodium
Celebrex,Celecoxib
Celecoxib,Celecoxib
Celestone,"Betamethasone Acetate,Sod Phos"
Celexa,Citalopram Hydrobromide
Cellcept,Mycophenolate Mofetil
Celontin,Methsuximide
Cephalexin,Cephalexin
Cequa,Cyclosporine
Cequr Simplicity,"Bolus Insulin Pump, 200 Unit"
Cequr Simplicity Inserter,"Diabetic Supplies,Miscell"
Cerdelga,Eliglustat Tartrate
Cerebyx,Fosphenytoin Sodium
Cerezyme,Imiglucerase
Cetirizine HCl,Cetirizine HCl
Cevimeline HCl,Cevimeline HCl
Chantix,Varenicline Tartrate
Charlotte 24 Fe,Norethindrone-E.Estradiol-Iron
Chateal Eq,Levonorgestrel/Ethin.Estradiol
Chemet,Succimer
Chenodal,Chenodiol
Children'S Multivitamin,Pediatric Multivitamin No.17
Chlordiazepoxide HCl,Chlordiazepoxide HCl
Chlordiazepoxide-Amitriptyline,Amitriptyline/Chlordiazepoxide
Chlordiazepoxide-Clidinium,Chlordiazepoxide/Clidinium Br
Chlorhexidine Gluconate,Chlorhexidine Gluconate
Chloroquine Phosphate,Chloroquine Phosphate
Chlorpromazine HCl*,Chlorpromazine HCl
Chlorthalidone,Chlorthalidone
Chlorzoxazone,Chlorzoxazone
Cholbam,Cholic Acid
Cholestyramine,Cholestyramine (With Sugar)
Cholestyramine Light,Cholestyramine/Aspartame
Chorionic Gonadotropin,"Chorionic Gonadotropin, Human"
Cialis,Tadalafil
Cibinqo,Abrocitinib
Ciclodan,Ciclopirox
Ciclopirox,Ciclopirox
Cidofovir,Cidofovir
Cilostazol,Cilostazol
Ciloxan,Ciprofloxacin HCl
Cimduo,Lamivudine/Tenofovir Disop Fum
Cimetidine,Cimetidine
Cimzia,Certolizumab PEGol
Cinacalcet HCl,Cinacalcet HCl
Cinqair,Reslizumab
Cinryze,C1 Esterase Inhibitor
Cinvanti,Aprepitant
Cipro,Ciprofloxacin
Cipro HC,Ciprofloxacin/Hydrocortisone
Ciprodex,Ciprofloxacin HCl/Dexameth
Ciprofloxacin HCl*,Ciprofloxacin HCl
Ciprofloxacin HCl-Fluocinolone,Ciprofloxacin HCl/Fluocinolone
Ciprofloxacin-D5W,Ciprofloxacin In 5 % Dextrose
Ciprofloxacin-Dexamethasone,Ciprofloxacin HCl/Dexameth
Cisplatin,Cisplatin
Citalopram HBr,Citalopram Hydrobromide
Citranatal B-Calm,Prenatal 48/Iron/Folic Acid/B6
Claravis,Isotretinoin
Clarinex,Desloratadine
Clarinex-D 12 Hour,Desloratadine/Pseudoephedrine
Clarithromycin,Clarithromycin
Clarithromycin ER,Clarithromycin
Clemastine Fumarate,Clemastine Fumarate
Clenpiq,Sod Picosulf/Mag Ox/Citric Ac
Cleocin,Clindamycin Phosphate
Cleocin HCl,Clindamycin HCl
Cleocin Phosphate*,Clindamycin Phosphate
Cleocin T,Clindamycin Phosphate
Clickfine,"Pen Needle, Diabetic"
Climara,Estradiol
Climara Pro,Estradiol/Levonorgestrel
Clindacin Etz,Clindamycin Phosphate
Clindacin P,Clindamycin Phosphate
Clindagel,Clindamycin Phosphate
Clindamycin (Pediatric),Clindamycin Palmitate HCl
Clindamycin HCl,Clindamycin HCl
Clindamycin Phos-Benzoyl Perox,Clindamycin Phos/Benzoyl Perox
Clindamycin Phos-Tretinoin,Clindamycin/Tretinoin
Clindamycin Phosphate*,Clindamycin Phosphate
Clindamycin Phosphate-D5W,Clindamycin Phosphate/D5W
Clindamycin-0.9% NaCl,Clindamycin In 0.9 % Sod Chlor
Clindamycin-Benzoyl Peroxide,Clindamycin Phos/Benzoyl Perox
Clindesse,Clindamycin Phosphate
Clinimix,Amino Acid 8 % In D14w
Clinimix E,Aa 4.25%/Calcium/Lytes/Dex 10%
Clinisol,Parenteral Amino Acid 15% No.5
Clinolipid,Fat Emulsion/Olive/Soy/Phospho
Clinpro 5000,Fluoride (Sodium)
Clobazam,Clobazam
Clobetasol Emollient,Clobetasol Propionate/Emoll
Clobetasol Emulsion,Clobetasol Propionate/Emoll
Clobetasol Propionate,Clobetasol Propionate
Clobex,Clobetasol Propionate
Clocortolone Pivalate,Clocortolone Pivalate
Clodan,Clobetasol Propionate
Cloderm,Clocortolone Pivalate
Clomid,Clomiphene Citrate
Clomiphene Citrate,Clomiphene Citrate
Clomipramine HCl,Clomipramine HCl
Clonazepam,Clonazepam
Clonidine,Clonidine
Clonidine HCl,Clonidine HCl
Clonidine HCl ER,Clonidine HCl
Clopidogrel,Clopidogrel Bisulfate
Clorazepate Dipotassium,Clorazepate Dipotassium
Clotrimazole*,Clotrimazole
Clotrimazole-Betamethasone,Clotrimazole/Betamethasone Dip
Clozapine,Clozapine
Clozapine ODT,Clozapine
Clozaril,Clozapine
Co Q-10,Ubidecarenone
Coartem,Artemether/Lumefantrine
Codeine Sulfate,Codeine Sulfate
Colazal,Balsalazide Disodium
Colchicine,Colchicine
Colcrys,Colchicine
Colesevelam HCl,Colesevelam HCl
Colestid,Colestipol HCl
Colestipol HCl,Colestipol HCl
Colistimethate,Colistin (Colistimethate Na)
Coly-Mycin M Parenteral,Colistin (Colistimethate Na)
Combigan,Brimonidine Tartrate/Timolol
Combipatch,Estradiol/Norethindrone Acet
Combivent Respimat,Ipratropium/Albuterol Sulfate
Combivir,Lamivudine/Zidovudine
Cometriq,Cabozantinib S-Malate
Comfort Ez Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml"
Comfort Ez Pen Needle,"Pen Needle, Diabetic"
Comfort Touch Pen Needle,"Pen Needle, Diabetic"
Complera,Emtricita/Rilpivirine/Tenof Df
Complete Natal DHA,PNV Cmb 52/Iron/FA/Omega-3/DHA
Completenate,Prenatal Vit 14/Iron Fum/Folic
Compro,Prochlorperazine
Comtan,Entacapone
Concept DHA,Mvn-Min75/Iron/Iron Ps/Om3/DHA
Concerta,Methylphenidate HCl
Condylox,Podofilox
Constulose,Lactulose
Contrave,Naltrexone HCl/Bupropion HCl
Conzip,Tramadol HCl
Copaxone,Glatiramer Acetate
Copiktra,Duvelisib
Cordran,Flurandrenolide
Coreg,Carvedilol
Coreg Cr,Carvedilol Phosphate
Corgard,Nadolol
Corlanor,IVabradine HCl
Cortef,Hydrocortisone
Cortenema,Hydrocortisone
Cortifoam,Hydrocortisone Acetate
Cortisporin-Tc,Neomyc/Colist/Hydrocort/Thonzn
Cortrophin,Corticotropin
Cosentyx (2 Syringes),Secukinumab
Cosentyx Pen,Secukinumab
Cosentyx Pen (2 Pens),Secukinumab
Cosentyx Syringe,Secukinumab
Cosopt,Dorzolamide HCl/Timolol Maleat
Cosopt PF,Dorzolamide/Timolol/PF
Cotellic,Cobimetinib Fumarate
Cotempla XR-ODT,Methylphenidate
Cozaar,Losartan Potassium
Creon,Lipase/Protease/Amylase
Cresemba*,Isavuconazonium Sulfate
Crestor,Rosuvastatin Calcium
Crinone,"Progesterone, Micronized"
Cromolyn Sodium*,Cromolyn Sodium
Crotan,Crotamiton
Cryselle,Norgestrel-Ethinyl Estradiol
Crysvita,Burosumab-Twza
Cubicin Rf,Daptomycin
