Brnd_Name,Mftr_Name,Tot_Mftr
Alprazolam,Major Pharmaceu,1
Alprazolam,Par Pharm.,1
Alprazolam,Sandoz,1
Alprazolam ER,Actavis/Teva,1
Alprazolam ER,Aurobindo Pharm,1
Alprazolam Intensol,Roxane/West-War,1
Alprazolam ODT,Actavis/Teva,1
Alprazolam ODT,Par Pharm.,1
Alprazolam XR,Greenstone LLC.,1
Alrex,Bausch & Lomb I,1
Altabax,"Almirall, LLC",1
Altace,Monarch Phrm,1
Altavera,"Xiromed, LLC",1
Altoprev,Covis Pharma,1
Altreno,Bausch Health U,1
Alunbrig,Takeda Pharmace,1
Alvesco,Covis Pharma,1
Alyacen,Glenmark Pharma,1
Alyq,Teva USA,1
Amabelz,Lupin Pharmaceu,1
Amantadine,Actavis/Teva,1
Amantadine,Advagen Pharma,1
Amantadine,Alembic Pharmac,1
Amantadine,"Athem, LLC",1
Amantadine,Avet Pharmaceut,1
Amantadine,Banner Pharmaca,1
Amantadine,Bionpharma Inc.,1
Amantadine,"Cipla USA, Inc.",1
Amantadine,Hi-Tech/Akorn C,1
Amantadine,Jubilant Cadist,1
Amantadine,Lannett Co. Inc,1
Amantadine,Major Pharmaceu,1
Amantadine,Marlex Pharm.,1
Amantadine,Morton Grove Ph,1
Amantadine,Pharm Assoc Inc,1
Amantadine,Rising Pharm,1
Amantadine,Strides Pharma,1
Amantadine,Upsher Smith La,1
Amantadine,Upsher-Smith La,1
Amantadine,Zydus Pharmaceu,1
Amaryl,Sanofi-Aventis,1
Ambien,Sanofi-Aventis,1
Ambien Cr,Sanofi-Aventis,1
Ambisome,Astellas Pharma,1
Ambrisentan,Actavis/Teva,1
Ambrisentan,Apotex Corp,1
Ambrisentan,"Cipla USA, Inc.",1
Ambrisentan,Mylan,1
Ambrisentan,Par Pharm.,1
Ambrisentan,Sun Pharma Glob,1
Ambrisentan,Zydus Pharmaceu,1
Amcinonide,Fougera/Sandoz,1
Amerge,Glaxosmithkline,1
Amethia,Mayne Pharma In,1
Amethyst,Actavis/Teva,1
Amicar,Clover Pharmace,1
Amikacin Sulfate,Avet Pharmaceut,1
Amikacin Sulfate,Avet/Novaplus,1
Amikacin Sulfate,Fresenius Kabi,1
Amikacin Sulfate,Sagent Pharmace,1
Amikacin Sulfate,Teva Parenteral,1
Amikacin Sulfate,West-Ward/Hikma,1
Amiloride HCl,Par Pharm.,1
Amiloride HCl,Perrigo/Padagis,1
Amiloride HCl,Sigmapharm Labo,1
Amiloride-Hydrochlorothiazide,Mylan,1
Amiloride-Hydrochlorothiazide,Teva USA,1
Aminocaproic Acid*,Akorn Inc.,1
Aminocaproic Acid*,Amer. Regent,1
Aminocaproic Acid*,Amneal Pharmace,1
Aminocaproic Acid*,Ani Pharmaceuti,1
Aminocaproic Acid*,Biocon Pharma I,1
Aminocaproic Acid*,Leading Pharma,1
Aminocaproic Acid*,Novadoz Pharmac,1
Aminocaproic Acid*,"Trupharma, LLC.",1
Aminocaproic Acid*,Vistapharm/Pai,1
Aminocaproic Acid*,Vitruvias Thera,1
Amiodarone HCl*,AHP,1
Amiodarone HCl*,Advagen Pharma,1
Amiodarone HCl*,Aurobindo Pharm,1
Amiodarone HCl*,Cameron Pharmac,1
Amiodarone HCl*,Major Pharmaceu,1
Amiodarone HCl*,Mayne Pharma In,1
Amiodarone HCl*,Northstar Rx Ll,1
Amiodarone HCl*,Sandoz,1
Amiodarone HCl*,Taro Pharm USA,1
Amiodarone HCl*,Unichem Pharmac,1
Amiodarone HCl*,Zydus Pharmaceu,1
Amitiza,Takeda Pharmace,1
Amitriptyline HCl,Accord Healthca,1
Amitriptyline HCl,Lifestar Pharma,1
Amitriptyline HCl,Major Pharmaceu,1
Amitriptyline HCl,Northstar Rx Ll,1
Amitriptyline HCl,Qualitest/Par P,1
Amitriptyline HCl,Sandoz,1
Amitriptyline HCl,Sun Pharmaceuti,1
Amitriptyline HCl,Unichem Pharmac,1
Amitriptyline HCl,Zydus Pharmaceu,1
Amlodipine Besylate,AHP,1
Amlodipine Besylate,Aci Healthcare,1
Amlodipine Besylate,Ascend Laborato,1
Amlodipine Besylate,Aurobindo Pharm,1
Amlodipine Besylate,Bi-Coastal Phar,1
Amlodipine Besylate,Biomes Pharmace,1
Amlodipine Besylate,Caraco/Sun Phar,1
Amlodipine Besylate,"Cipla USA, Inc.",1
Amlodipine Besylate,Dr.Reddy'S Lab,1
Amlodipine Besylate,Epic Pharma LLC,1
Amlodipine Besylate,Exelan Pharmace,1
Amlodipine Besylate,Greenstone LLC.,1
Amlodipine Besylate,Legacy Pharmace,1
Amlodipine Besylate,Lupin Pharmaceu,1
Amlodipine Besylate,Major Pharmaceu,1
Amlodipine Besylate,Marlex Pharm.,1
Amlodipine Besylate,Oxford Pharmace,1
Amlodipine Besylate,Unichem Pharmac,1
Amlodipine Besylate,Zydus Pharmaceu,1
Amlodipine Besylate-Benazepril,Aurobindo Pharm,1
Amlodipine Besylate-Benazepril,Bluepoint Labor,1
Amlodipine Besylate-Benazepril,Dr.Reddy'S Lab,1
Amlodipine Besylate-Benazepril,Lupin Pharmaceu,1
Amlodipine Besylate-Benazepril,Rising Pharm,1
Amlodipine-Atorvastatin,Apotex Corp,1
Amlodipine-Atorvastatin,Dr.Reddy'S Lab,1
Amlodipine-Atorvastatin,Greenstone/Pras,1
Amlodipine-Atorvastatin,Mylan,1
Amlodipine-Atorvastatin,Prasco Labs,1
Amlodipine-Olmesartan,Ajanta Pharma L,1
Amlodipine-Olmesartan,Alembic Pharmac,1
Amlodipine-Olmesartan,Ascend Laborato,1
Amlodipine-Olmesartan,Aurobindo Pharm,1
Amlodipine-Olmesartan,Glenmark Pharma,1
Amlodipine-Olmesartan,Macleods Pharma,1
Amlodipine-Olmesartan,"Micro Labs USA,",1
Amlodipine-Olmesartan,Sun Pharmaceuti,1
Amlodipine-Olmesartan,Torrent Pharmac,1
Amlodipine-Valsartan,Alembic Pharmac,1
Amlodipine-Valsartan,Aurobindo Pharm,1
Amlodipine-Valsartan,Gavis/Lupin,1
Amlodipine-Valsartan,Lupin Pharmaceu,1
Amlodipine-Valsartan,Mylan,1
Amlodipine-Valsartan,Par Pharm.,1
Amlodipine-Valsartan-HCTZ,Aurobindo Pharm,1
Amlodipine-Valsartan-HCTZ,Lupin Pharmaceu,1
Amlodipine-Valsartan-HCTZ,Par Pharm.,1
Amlodipine-Valsartan-HCTZ,Strides Pharma,1
Ammonium Lactate,Perrigo/Padagis,1
Ammonium Lactate,Taro Pharm USA,1
Amnesteem,Mylan,1
Amondys-45,Sarepta Therape,1
Amoxapine,Actavis/Teva,1
Amoxicillin,American Antibi,1
Amoxicillin,Aurobindo Pharm,1
Amoxicillin,Bi-Coastal Phar,1
Amoxicillin,Neopharma Inc,1
Amoxicillin,Northstar Rx Ll,1
Amoxicillin,Rising Pharm,1
Amoxicillin,Sandoz,1
Amoxicillin,Teva USA,1
Amoxicillin,West-Ward/Hikma,1
Amoxicillin-Clavulanate Pot ER,Dr.Reddy'S Lab,1
Amoxicillin-Clavulanate Pot ER,Sandoz,1
Amoxicillin-Clavulanate Potass,Aurobindo Pharm,1
Amoxicillin-Clavulanate Potass,Bionpharma Inc.,1
Amoxicillin-Clavulanate Potass,Dr.Reddy'S Lab,1
Amoxicillin-Clavulanate Potass,"Micro Labs USA,",1
Amoxicillin-Clavulanate Potass,Morton Grove Ph,1
Amoxicillin-Clavulanate Potass,Northstar Rx Ll,1
Amoxicillin-Clavulanate Potass,Sandoz,1
Amoxicillin-Clavulanate Potass,Teva USA,1
Amoxicillin-Clavulanate Potass,West-Ward/Hikma,1
Amphetamine Sulfate,Amneal Pharmace,1
Amphetamine Sulfate,Dr.Reddy'S Lab,1
Amphetamine Sulfate,Granules Pharma,1
Amphetamine Sulfate,Lannett Co. Inc,1
Amphotericin B,X-Gen Pharmaceu,1
Amphotericin B Liposome,Sun Pharmaceuti,1
Ampicillin Sodium*,Athenex Pharmac,1
Ampicillin Sodium*,Auromedics-Eugi,1
Ampicillin Sodium*,Fresenius Kabi,1
Ampicillin Sodium*,Hospira/Pfizer,1
Ampicillin Sodium*,Methapharm Inc,1
Ampicillin Sodium*,Mylan Instituti,1
Ampicillin Sodium*,Piramal Critica,1
Ampicillin Sodium*,Sagent Pharmace,1
Ampicillin Sodium*,Sandoz*,1
Ampicillin Sodium*,Sandoz/Novaplus*,1
Ampicillin Sodium*,Sandoz/Premier,1
Ampicillin Sodium*,WG Critical Car,1
Ampicillin Sodium*,Xellia Pharmace,1
Ampicillin Trihydrate,Sandoz,1
Ampicillin-Sulbactam*,Auromedics-Eugi,1
Ampicillin-Sulbactam*,"Civica, Inc.",1
Ampicillin-Sulbactam*,Hospira/Pfizer*,1
Ampicillin-Sulbactam*,Meitheal Pharma,1
Ampicillin-Sulbactam*,Mylan Instituti,1
Ampicillin-Sulbactam*,Piramal Critica,1
Ampicillin-Sulbactam*,Sagent Pharmace,1
Ampicillin-Sulbactam*,WG Critical Car,1
Ampicillin-Sulbactam*,West-Ward/Hikma,1
Ampicillin-Sulbactam*,Xellia Pharmace,1
Ampyra,Acorda Therapeu,1
Amrix,Teva USA,1
Amvuttra,Alnylam Pharmac,1
Amzeeq,Journey Medical,1
Amzeeq,Vyne/Journey,1
Anafranil,Mallinckrodt Ph,1
Anagrelide HCl,Teva USA,1
Anagrelide HCl,Torrent Pharmac,1
Analpram HC*,Sebela Pharmace*,1
Anaspaz,B.F Ascher & Co,1
Anastrozole,Accord Healthca,1
Anastrozole,Aurobindo Pharm,1
Anastrozole,Bluepoint Labor,1
Anastrozole,Breckenridge,1
Anastrozole,Chartwell Rx Ll,1
Anastrozole,Major Pharmaceu,1
Anastrozole,Rising Pharm,1
Anastrozole,Teva USA,1
Anastrozole,Yiling Pharmace,1
Anastrozole,Zydus Pharmaceu,1
Androderm,Allergan Inc.,1
Androgel,Abbvie US LLC,1
Angeliq,"Bayer,Pharm Div",1
Annovera,Therapeuticsmd,1
Anoro Ellipta,Glaxosmithkline,1
Antara,Lupin Pharma,1
Antivert,Casper Pharma L,1
Anusol-HC,Salix Pharmaceu,1
Apexicon E,Sandoz,1
Apidra,Sanofi-Aventis,1
Apidra Solostar,Sanofi-Aventis,1
Aplenzin,Bausch Health U,1
Apokyn,US World/Supern,1
Apomorphine HCl,"Trupharma, LLC.",1
Apraclonidine HCl,Akorn Inc.,1
Apraclonidine HCl,Sandoz,1
Aprepitant,Glenmark Pharma,1
Aprepitant,Sandoz,1
Aprepitant,Torrent Pharmac,1
Apretude,Viiv Healthcare,1
Apri,Teva USA,1
Apriso,Salix Pharmaceu,1
Aptensio XR,Rhodes Pharmace,1
Aptiom,Sunovion Pharma,1
Aptivus,Boehringer Ing.,1
Aralast NP,Baxalta US Inc.,1
Aranelle,Teva USA,1
Aranesp,Amgen,1
Arava,Sanofi-Aventis,1
Arazlo,Bausch Health U,1
Arcalyst,Kiniksa Pharmac,1
Arestin,Orapharma,1
Arformoterol Tartrate,"Cipla USA, Inc.",1
Arformoterol Tartrate,Lupin Pharmaceu,1
Arformoterol Tartrate,Slate Run Pharm,1
Arformoterol Tartrate,Sun Pharmaceuti,1
Arformoterol Tartrate,Teva USA,1
Aricept,Eisai Inc.,1
Arikayce,Insmed Incorpor,1
Arimidex,Ani Pharmaceuti,1
Aripiprazole,AHP,1
Aripiprazole,Accord Healthca,1
Aripiprazole,Ajanta Pharma L,1
Aripiprazole,Alembic Pharmac,1
Aripiprazole,Amneal Pharmace,1
Aripiprazole,Apotex Corp,1
Aripiprazole,Ascend Laborato,1
Aripiprazole,Aurobindo Pharm,1
Aripiprazole,Camber Pharmace,1
Aripiprazole,Dr.Reddy'S Lab,1
Aripiprazole,Exelan Pharmace,1
Aripiprazole,Macleods Pharma,1
Aripiprazole,Major Pharmaceu,1
Aripiprazole,Mckesson Packag,1
Aripiprazole,Northstar Rx Ll,1
Aripiprazole,Safecor Health,1
Aripiprazole,Silarx/Lannett,1
Aripiprazole,Solco Healthcar,1
Aripiprazole,Torrent Pharmac,1
Aripiprazole,Unichem Pharmac,1
Aripiprazole,Vistapharm/Pai,1
Aripiprazole,Xlcare Pharmace,1
Aripiprazole ODT,Alembic Pharmac,1
Aripiprazole ODT,Bionpharma Inc.,1
Aripiprazole ODT,Dr.Reddy'S Lab,1
Aripiprazole ODT,Orchid/Bionphar,1
Aripiprazole ODT,Viona Pharmaceu,1
Aristada,Alkermes Inc,1
Aristada Initio,Alkermes Inc,1
Arixtra,Mylan Instituti,1
Armodafinil,Aurobindo Pharm,1
Armodafinil,Lupin Pharmaceu,1
Armodafinil,Mylan,1
Armodafinil,Sandoz,1
Armodafinil,Teva USA,1
Armonair Digihaler,Teva Specialty,1
Armour Thyroid,Forest/Allergan,1
Arnuity Ellipta,Glaxosmithkline,1
Aromasin,Pharmaci/Pfizer,1
Arthrotec 50,Pharmaci/Pfizer,1
Arthrotec 75,Pharmaci/Pfizer,1
Asa-Butalb-Caffeine-Codeine,Amneal Pharmace,1
Asacol Hd,Allergan Inc.,1
Asceniv,"Adma Biologics,",1
Ascomp With Codeine,Breckenridge,1
Asenapine Maleate,Alembic Pharmac,1
